Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,1,2024-09-30,15:44,7333296,zufbsHvYb,Postponed,Bandari FC,BAN,138474,Kariobangi Sharks,KAR,246032,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333284,BufbsPufb,Postponed,Chemelil Sugar,CSU,138476,Sony Sugar,SSU,138490,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333285,gLdbsexKb,Postponed,Kakamega Homeboyz,KAH,213604,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333287,HufbsRufb,Canceled,Mathare United,MAU,138482,Thika United,TUN,138492,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333289,Jufbsavfb,Canceled,Western Stima FC,WST,138500,Muhoroni Youth FC,MUY,138484,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333299,IDFsIvYb,Canceled,AFC Leopards SC,LDS,76433,Nzoia United,NZO,246033,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333288,NufbsYufb,Canceled,Sofapaka,SOF,138488,Ulinzi Stars,ULS,138498,-,-
Kenyan Premier League,2017,1,2024-09-30,15:44,7333286,WufbsfxKb,Canceled,Tusker,TUS,138496,Posta Rangers,PRA,213605,-,-
Kenyan Premier League,2017,1,2017-03-11,14:00,7357763,WufbsIvYb,Finished,Tusker,TUS,138496,Nzoia United,NZO,246033,2,2
Kenyan Premier League,2017,1,2017-03-12,14:00,7357764,HufbsRufb,Finished,Mathare United,MAU,138482,Thika United,TUN,138492,3,3
Kenyan Premier League,2017,1,2017-03-12,15:00,7357765,BufbsPufb,Finished,Sony Sugar,SSU,138490,Chemelil Sugar,CSU,138476,0,0
Kenyan Premier League,2017,1,2017-03-12,16:15,7357766,gLdbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2017,1,2017-03-26,15:00,7368660,JufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2017,1,2017-03-26,15:00,7368661,Nufbsavfb,Finished,Western Stima FC,WST,138500,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2017,1,2017-04-05,15:00,7377457,IDFsYufb,Finished,AFC Leopards SC,LDS,76433,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,2017,2,2017-03-18,14:00,7361011,zufbsfxKb,Finished,Posta Rangers,PRA,213605,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2017,2,2017-03-18,15:00,7361009,BufbsexKb,Finished,Chemelil Sugar,CSU,138476,Kakamega Homeboyz,KAH,213604,1,1
Kenyan Premier League,2017,2,2017-03-18,15:00,7361007,gLdbsnTid,Finished,Gor Mahia FC,GOR,134306,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,2017,2,2017-03-18,15:00,7361010,HufbsIvYb,Finished,Nzoia United,NZO,246033,Mathare United,MAU,138482,0,0
Kenyan Premier League,2017,2,2017-03-19,14:00,7361014,RufbsWufb,Finished,Thika United,TUN,138492,Tusker,TUS,138496,2,2
Kenyan Premier League,2017,2,2017-03-19,15:00,7364620,JufbsHvYb,Finished,Muhoroni Youth FC,MUY,138484,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,2017,2,2024-09-30,15:44,7361008,Yufbsavfb,Canceled,Ulinzi Stars,ULS,138498,Western Stima FC,WST,138500,-,-
