Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,19/20,1,2019-08-30,15:00,8267284,avfbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Western Stima FC,WST,138500,2,2
Kenyan Premier League,19/20,1,2019-08-30,15:00,8267285,NufbsfxKb,Finished,Sofapaka,SOF,138488,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,19/20,1,2019-08-31,13:00,8267283,IvYbsOYcc,Finished,Muhoroni Youth FC,MUH,257439,Nzoia United,NZO,246033,1,1
Kenyan Premier League,19/20,1,2019-08-31,14:00,8267279,YufbsnwCc,Finished,Kisumu All Stars FC,KAS,318563,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,19/20,1,2019-08-31,15:00,8267280,zufbsHufb,Finished,Mathare United,MAU,138482,Bandari FC,BAN,138474,0,0
Kenyan Premier League,19/20,1,2019-08-31,15:00,8267287,DufbsPufb,Finished,Sony Sugar,SSU,138490,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,19/20,1,2019-08-31,16:15,8267282,gLdbsWufb,Finished,Gor Mahia FC,GOR,134306,Tusker,TUS,138496,5,5
Kenyan Premier League,19/20,1,2019-09-01,15:00,8267281,IDFsexKb,Finished,Kakamega Homeboyz,KAH,213604,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,19/20,1,2019-09-01,15:00,8267278,BufbsnTid,Finished,Zoo F.C.,ZFC,397163,Chemelil Sugar,CSU,138476,3,3
Kenyan Premier League,19/20,2,2024-09-30,15:47,8267302,PufbsIvYb,Canceled,Nzoia United,NZO,246033,Sony Sugar,SSU,138490,-,-
Kenyan Premier League,19/20,2,2019-09-14,14:00,8267306,HufbsWufb,Finished,Tusker,TUS,138496,Mathare United,MAU,138482,1,1
Kenyan Premier League,19/20,2,2024-09-30,15:47,8267307,zufbsnTid,Canceled,Bandari FC,BAN,138474,Zoo F.C.,ZFC,397163,-,-
Kenyan Premier League,19/20,2,2024-09-30,15:47,8267300,gLdbsBufb,Canceled,Chemelil Sugar,CSU,138476,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,19/20,2,2019-09-14,15:00,8267303,NufbsYufb,Finished,Ulinzi Stars,ULS,138498,Sofapaka,SOF,138488,0,0
Kenyan Premier League,19/20,2,2019-09-14,15:00,8267305,avfbsOYcc,Finished,Western Stima FC,WST,138500,Muhoroni Youth FC,MUH,257439,0,0
Kenyan Premier League,19/20,2,2019-09-14,16:15,8267304,exKbsfxKb,Finished,Posta Rangers,PRA,213605,Kakamega Homeboyz,KAH,213604,1,1
Kenyan Premier League,19/20,2,2019-09-15,15:00,8267301,IDFsHvYb,Finished,AFC Leopards SC,LDS,76433,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,19/20,2,2019-09-15,15:00,8267308,DufbsnwCc,Finished,Kenya Commercial Bank,KCB,138478,Kisumu All Stars FC,KAS,318563,0,0
Kenyan Premier League,19/20,2,2019-09-18,15:00,8408243,zufbsnTid,Finished,Bandari FC,BAN,138474,Zoo F.C.,ZFC,397163,3,3
Kenyan Premier League,19/20,2,2024-09-30,15:47,8408242,gLdbsBufb,Canceled,Chemelil Sugar,CSU,138476,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,19/20,2,2020-01-15,16:00,8520025,gLdbsBufb,Finished,Chemelil Sugar,CSU,138476,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,19/20,3,2019-09-21,14:00,8267364,HufbsYufb,Finished,Mathare United,MAU,138482,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,19/20,3,2019-09-21,15:00,8267359,IvYbsnwCc,Finished,Kisumu All Stars FC,KAS,318563,Nzoia United,NZO,246033,0,0
Kenyan Premier League,19/20,3,2019-09-21,15:00,8267358,IDFsOYcc,Finished,Muhoroni Youth FC,MUH,257439,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,19/20,3,2019-09-22,14:00,8267360,avfbsfxKb,Finished,Posta Rangers,PRA,213605,Western Stima FC,WST,138500,0,0
Kenyan Premier League,19/20,3,2019-09-22,15:00,8267367,exKbsHvYb,Finished,Kakamega Homeboyz,KAH,213604,Kariobangi Sharks,KAR,246032,3,3
Kenyan Premier League,19/20,3,2019-09-22,15:00,8267354,BufbsNufb,Finished,Sofapaka,SOF,138488,Chemelil Sugar,CSU,138476,4,4
Kenyan Premier League,19/20,3,2019-09-22,15:00,8267362,zufbsPufb,Finished,Sony Sugar,SSU,138490,Bandari FC,BAN,138474,0,0
Kenyan Premier League,19/20,3,2019-09-22,15:00,8267361,WufbsnTid,Finished,Zoo F.C.,ZFC,397163,Tusker,TUS,138496,1,1
Kenyan Premier League,19/20,3,2019-09-22,16:15,8267318,gLdbsDufb,Finished,Gor Mahia FC,GOR,134306,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,19/20,4,2019-09-28,14:00,8267316,NufbsWufb,Finished,Tusker,TUS,138496,Sofapaka,SOF,138488,3,3
Kenyan Premier League,19/20,4,2019-09-28,15:00,8267320,avfbsnwCc,Finished,Kisumu All Stars FC,KAS,318563,Western Stima FC,WST,138500,1,1
Kenyan Premier League,19/20,4,2019-09-28,15:00,8267323,PufbsYufb,Finished,Ulinzi Stars,ULS,138498,Sony Sugar,SSU,138490,3,3
Kenyan Premier League,19/20,4,2019-09-28,16:15,8267325,HufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Mathare United,MAU,138482,0,0
Kenyan Premier League,19/20,4,2019-09-29,14:00,8267319,IDFsBufb,Finished,AFC Leopards SC,LDS,76433,Chemelil Sugar,CSU,138476,4,4
Kenyan Premier League,19/20,4,2019-09-29,15:00,8267326,DufbsexKb,Finished,Kenya Commercial Bank,KCB,138478,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,19/20,4,2019-09-29,15:00,8267313,OYccsnTid,Finished,Zoo F.C.,ZFC,397163,Muhoroni Youth FC,MUH,257439,0,0
Kenyan Premier League,19/20,4,2019-10-02,15:00,8267321,gLdbsIvYb,Finished,Nzoia United,NZO,246033,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,19/20,4,2019-10-03,15:00,8267317,zufbsfxKb,Finished,Bandari FC,BAN,138474,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,19/20,5,2024-09-30,15:47,8267309,IDFsPufb,Canceled,Sony Sugar,SSU,138490,AFC Leopards SC,LDS,76433,-,-
Kenyan Premier League,19/20,5,2019-10-05,14:00,8267311,BufbsHvYb,Finished,Chemelil Sugar,CSU,138476,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,19/20,5,2019-10-05,14:00,8267314,Yufbsavfb,Finished,Western Stima FC,WST,138500,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,19/20,5,2019-10-05,15:00,8267310,DufbsIvYb,Finished,Kenya Commercial Bank,KCB,138478,Nzoia United,NZO,246033,1,1
Kenyan Premier League,19/20,5,2019-10-05,15:00,8267312,HufbsOYcc,Finished,Mathare United,MAU,138482,Muhoroni Youth FC,MUH,257439,2,2
Kenyan Premier League,19/20,5,2019-10-06,14:00,8267337,WufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Tusker,TUS,138496,1,1
Kenyan Premier League,19/20,5,2019-10-06,15:00,8267340,gLdbsnTid,Finished,Gor Mahia FC,GOR,134306,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,19/20,5,2019-10-06,15:00,8267339,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,2,2
Kenyan Premier League,19/20,5,2019-10-07,15:00,8267315,fxKbsnwCc,Finished,Posta Rangers,PRA,213605,Kisumu All Stars FC,KAS,318563,3,3
Kenyan Premier League,19/20,6,2024-09-30,15:47,8267333,PufbsWufb,Canceled,Tusker,TUS,138496,Sony Sugar,SSU,138490,-,-
Kenyan Premier League,19/20,6,2019-10-19,14:00,8267341,exKbsOYcc,Finished,Muhoroni Youth FC,MUH,257439,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,19/20,6,2019-10-19,15:00,8267332,zufbsBufb,Finished,Bandari FC,BAN,138474,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,19/20,6,2019-10-19,15:00,8267336,HufbsnwCc,Finished,Kisumu All Stars FC,KAS,318563,Mathare United,MAU,138482,1,1
Kenyan Premier League,19/20,6,2019-10-19,15:00,8267335,NufbsIvYb,Finished,Nzoia United,NZO,246033,Sofapaka,SOF,138488,2,2
Kenyan Premier League,19/20,6,2019-10-19,15:00,8267330,DufbsYufb,Finished,Ulinzi Stars,ULS,138498,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,19/20,6,2019-10-19,15:00,8267331,fxKbsnTid,Finished,Zoo F.C.,ZFC,397163,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,19/20,6,2019-10-19,16:15,8267334,IDFsavfb,Finished,AFC Leopards SC,LDS,76433,Western Stima FC,WST,138500,1,1
Kenyan Premier League,19/20,6,2019-10-20,16:00,8267327,gLdbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,19/20,7,2019-10-26,12:00,8267328,PufbsnwCc,Finished,Sony Sugar,SSU,138490,Kisumu All Stars FC,KAS,318563,1,1
Kenyan Premier League,19/20,7,2019-10-26,14:10,8267324,BufbsexKb,Finished,Chemelil Sugar,CSU,138476,Kakamega Homeboyz,KAH,213604,1,1
