Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,23/24,1,2023-08-26,15:00,11530533,zufbsWufb,Finished,Bandari FC,BAN,138474,Tusker,TUS,138496,0,0
Kenyan Premier League,23/24,1,2023-08-26,15:00,11530534,gLdbsNufb,Finished,Gor Mahia FC,GOR,134306,Sofapaka,SOF,138488,1,1
Kenyan Premier League,23/24,1,2024-09-25,05:41,11530536,DufbsexKb,Postponed,Kakamega Homeboyz,KAH,213604,Kenya Commercial Bank,KCB,138478,-,-
Kenyan Premier League,23/24,1,2023-08-26,15:00,11530537,HvYbseNqc,Finished,Kariobangi Sharks,KAR,246032,Kenya Police,KEN,291904,0,0
Kenyan Premier League,23/24,1,2023-08-26,15:00,11530535,YufbsIvYb,Finished,Nzoia United,NZO,246033,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,23/24,1,2023-08-27,15:00,11530541,IDFspqzc,Finished,AFC Leopards SC,LDS,76433,FC Talanta,TAL,310815,0,0
Kenyan Premier League,23/24,1,2024-09-25,05:41,11530538,LufbsOYcc,Canceled,Nairobi City Stars FC,NCS,138486,Muhoroni Youth FC,MUH,257439,-,-
Kenyan Premier League,23/24,1,2023-08-27,15:00,11583563,LufbsOYcc,Finished,Nairobi City Stars FC,NCS,138486,Muhoroni Youth FC,MUH,257439,0,0
Kenyan Premier League,23/24,1,2023-08-27,15:00,11530539,fxKbsKzdc,Finished,Posta Rangers,PRA,213605,Bidco United,BID,258735,0,0
Kenyan Premier League,23/24,1,2023-08-27,15:00,11530540,CYHcsFhIc,Finished,Shabana FC,SHA,332880,Muranga Seal,MUR,332427,0,0
Kenyan Premier League,23/24,1,2023-09-27,15:00,11690470,DufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Kenya Commercial Bank,KCB,138478,0,0
