BusinessName,Job,City
2 X 4,Design,Quebec
90 Degrees Mfg. Corp.,Supplier,British Columbia
A&A HOLZ INC.,Manufacturer,British Columbia
AB SPECS,Design,Southern Alberta
Abel Corporation,Manufacturer,Northern Alberta
Able Woodwork,Manufacturer,Southern Alberta
Abugov Kaspar,Design,Southern Alberta
ACDF Architecture,Design,Quebec
ACI Architecture,Design,Northern Alberta
Acorn Design Concepts,Design,Southern Alberta
Adamson Associates Architects,Design,Ontario
Adservco Group,Supplier,Ontario
Aiguisatek,Supplier,Quebec
Akhurst Machinery Ltd.,Supplier,Atlantic
Akhurst Machinery Ltd.,Supplier,British Columbia
Akhurst Machinery Ltd.,Supplier,Ontario
Alaska Wood Industries,Manufacturer,Ontario
"Alberta Employment, Immigration & Industry",Allied,Southern Alberta
Alexandria Moulding,Supplier,Ontario
All Wood Fine Interiors Ltd.,Manufacturer,Ontario
Allwood Carpentry Mfg.,Manufacturer,Ontario
Alpinetech Millwork Inc.,Manufacturer,British Columbia
Ami du Bois,Manufacturer,Quebec
"Amron Homes, Amron Construction, Heartstone Cabinets (a division of Demke Enterprises)",Manufacturer,Southern Alberta
Apollo Industries Ltd.,Manufacturer,British Columbia
Archi-,Design,Quebec
ARCHITECT@WORK Canada,Allied,Ontario
Architectes Labonté Marcil (AALM) (les),Design,Quebec
Architectural Millwork & Door Installations Inc. (AMDI),Installer,Ontario
Architecture Counsel Inc,Design,Ontario
Architecture49 Halifax,Design,Atlantic
Architem inc,Design,Quebec
Archmill House Inc.,Manufacturer,Ontario
Art for Everyday Inc.,Supplier,Ontario
Art Magic Carpentry,Supplier,Ontario
Artsy Contracting Co. Ltd.,Manufacturer,British Columbia
Arup Datta Architect Ltd.,Design,Southern Alberta
Association of Registered Interior Designers of Ontario (ARIDO),Allied,Ontario
Atelier Guy Architectes,Design,Quebec
Atelier Spazio,Design,Quebec
Atlantic Millwork,Manufacturer,Atlantic
Axis Insurance Managers Inc.,Supplier,British Columbia
B+B,Design,Quebec
Bamco Custom Woodworking,Manufacturer,Ontario
Baywood Interiors Ltd.,Manufacturer,Ontario
BCIT Joinery Department,Allied,British Columbia
"Beaupré, Michaud et associés, Architectes",Design,Quebec
Bec Woodcraft,Manufacturer,Southern Alberta
Beckville Woodcrafts 2022 Ltd.,Manufacturer,British Columbia
Bélanger Salach Architecture,Design,Ontario
Benchmark Architectural Woodworking Inc.,Manufacturer,British Columbia
Bendt Kitchens & Millwork Inc.,Manufacturer,Ontario
Bennett Design Associates Inc.,Design,Ontario
Berkshire Contracting Ltd.,Manufacturer,Southern Alberta
Bernard Head,Life,Southern Alberta
BGLA - Montréal,Design,Quebec
BGLA - Québec,Design,Quebec
Biesse Canada Inc.,Supplier,Ontario
Bilodeau Baril Leeming Architectes,Design,Quebec
BKDI Architects,Design,Southern Alberta
Block Interior Design Inc.,Design,Southern Alberta
Blum Canada,Supplier,Quebec
Blum Canada Ltd.,Supplier,Atlantic
Blum Canada Ltd.,Supplier,British Columbia
Blum Canada Ltd.,Supplier,Ontario
Blum Canada Ltd.,Supplier,Saskatchewan
Bois Lamica,Supplier,Quebec
Boisdaction,Manufacturer,Quebec
Bold Interior Design Inc.,Design,Northern Alberta
Botelho Wood Architects,Design,Ontario
BR2 Architects,Design,Northern Alberta
Brenlo Ltd.,Supplier,Ontario
Brian Ballantyne Specifications,Design,Ontario
Brilun Construction Ltd,Manufacturer,Atlantic
Brunel Commercial Interiors Inc.,Manufacturer,Southern Alberta
Building Arts Architects Inc.,Design,Ontario
Building Science + Architecture Ltd.,Design,Southern Alberta
Burtons Fine Furnishing,Manufacturer,Ontario
BWP Millwork,Manufacturer,British Columbia
Cabinet Expressions Ltd.,Manufacturer,Southern Alberta
Cabinet Solutions Inc.,Manufacturer,Ontario
Caesarstone Canada,Supplier,Atlantic
Caesarstone Canada,Supplier,British Columbia
Calgary Fasteners & Tools Ltd.,Supplier,Southern Alberta
Cambria Canada,Supplier,Ontario
Campbell Construction Ltd.,Manufacturer,British Columbia
Canadian hardwood Plywood and Veneer Association,Allied,Ontario
Canadian Woodworking Machinery Distributors Association (CWMDA),Allied,Ontario
Candu Millwork Inc.,Manufacturer,Ontario
Canmore Woodcrafters Ltd.,Manufacturer,Southern Alberta
Cascade Countertops,Supplier,Northern Alberta
CCW Architectural Millwork Casework Inc.,Manufacturer,Ontario
Cégep du Vieux Montréal,Allied,Quebec
Chad Stretch,Life,Atlantic
CIF Lab Solutions LP,Manufacturer,Ontario
Cimaise,Design,Quebec
Classic Woodwork Ltd.,Manufacturer,Atlantic
CNC Automation,Supplier,Atlantic
CNC Automation,Supplier,Quebec
CNC Automation,Supplier,Ontario
Coastal Woodworkers Ltd.,Manufacturer,Atlantic
Coex Architecture,Design,Quebec
Coletech Quality Woodworking Incorporated,Manufacturer,Ontario
Colonial Manufacturing Ltd.,Supplier,Atlantic
Colwin Design Ltd.,Manufacturer,British Columbia
Commonwealth Plywood Distribution,Supplier,Quebec
Comptoirs Prémoulés G. Pomerleau,Manufacturer,Quebec
Conception Céline Bouchart,Design,Quebec
Conestoga College,Allied,Ontario
Convoy Custom Interiors Inc.,Manufacturer,Ontario
COPPER8,Design,Southern Alberta
Cowichan Woodwork Ltd.,Manufacturer,British Columbia
Craig Clark,Life,Ontario
Cranbrook Interior Woodwork Ltd.,Manufacturer,British Columbia
CSV Consultants Inc.,Design,Ontario
Cuisines GBM,Manufacturer,Quebec
Current Millwork and Cabinetry,Manufacturer,British Columbia
Custom Millwork Atlantic Inc,Manufacturer,Atlantic
CWC Architectural Millwork (2007) Inc.,Manufacturer,British Columbia
Cyprus Construction,Installer,Saskatchewan
Dama Construction,Installer,Quebec
Dan Maslany,Life,Saskatchewan
Danzer Canada Inc.,Supplier,Ontario
Darrell Stokes,Life,Southern Alberta
DCL Woodworking Ltd.,Manufacturer,Ontario
De Vries Fine Woodworking Inc.,Manufacturer,British Columbia
Decca Design Inc.,Design,Southern Alberta
Deerwood Millwork,Manufacturer,Ontario
Delta Laminaction,Supplier,Quebec
Design 360 Inc.,Design,Atlantic
Designer's Choice Cabinetry and Millwork Inc.,Manufacturer,Atlantic
Dessins d’Atelier,Design,Quebec
DGS Consulting Services,Design,Ontario
DIALOG (formerly COHOS EVAMY),Design,Southern Alberta
Diamond Regency,Manufacturer,Quebec
Digital Fabrication (9185313 Canada Inc.),Manufacturer,Ontario
DM Millwork Ltd.,Manufacturer,Ontario
DMG Architecture,Design,Quebec
Door Painters Ltd.,Supplier,British Columbia
Dormond Industries Ltd.,Supplier,Manitoba
Doucet Machinerie,Supplier,Quebec
Drew Parks,Life,Atlantic
E. Roko Distributors Ltd.,Supplier,British Columbia
East Coast Specialty Hardwoods,Supplier,Atlantic
Ébénisterie 3D,Manufacturer,Quebec
Ébénisterie Chambois,Manufacturer,Quebec
Ebenisterie Foxwoods Millwork Inc.,Manufacturer,Atlantic
Ébénisterie Hi-Teck,Manufacturer,Quebec
Ébénisterie M4U,Manufacturer,Quebec
Ébénisterie R.Daigle & Associé,Manufacturer,Quebec
Ébénisterie Reflet,Manufacturer,Quebec
Ébénisterie Renova,Manufacturer,Quebec
Ébénisterie St-Patrick,Manufacturer,Quebec
Ebony Architectural Woodwork Ltd.,Manufacturer,British Columbia
École Nationale du Meuble et de l’Ébénisterie,Allied,Quebec
Edgewise Interior Design,Design,Northern Alberta
Edith Fillion,Design,Quebec
Einbau Ltd.,Installer,Ontario
Ell-Rod Holdings Inc.,Manufacturer,Ontario
Emily Creek Woodworking Inc.,Manufacturer,Ontario
Éric Allard,Life,Quebec
Eric Wolf,Life,British Columbia
Ernst Salzgeber,Life,Southern Alberta
Evergreen Architectural Woodworking & Design Inc.,Manufacturer,Ontario
EVOQ Architectures,Design,Quebec
Executive Millwork Inc.,Manufacturer,Southern Alberta
F.C. Machinery Ltd.,Supplier,Manitoba
F.C. Woodworks Inc.,Manufacturer,Manitoba
Fabri-Khan & Alex,Manufacturer,Quebec
Fabriq Architecture,Design,Quebec
FBM Architecture,Design,Atlantic
