name,category(s),phone,address,rating,reviews
Brampton Smiles,['Dentists'],905-793-6263,"50 Sunny Meadow Blvd, Brampton, ON",0.0,0
Dentistry on Main,"['Dentists', 'Cosmetic Dentistry']",905-454-5777,"389 Main Street North, Brampton, ON",0.0,0
iSmile Dental Centre (North),['Dentists'],905-846-9655,"23 Conservation Drive #4, Brampton, ON",0.0,0
Valleylands Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-451-1222,"8990 Chinguacousy Road, Brampton, ON",0.0,0
Sunny Ridge Dental Care,"['Dentists', 'Cosmetic Dentistry', 'Dentures']",905-840-1818,"105 Dufay Road, Brampton, ON",0.0,0
Meadow Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-495-5400,*,0.0,0
Heart Lake Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-495-7775,"180 Sandalwood Parkway East, Brampton, ON",0.0,0
Brampton Corners Dental Care,"['Dentists', 'Cosmetic Dentistry']",905-451-1665,"66 Quarry Edge Drive, Brampton, ON",0.0,0
SmileMakers Dental Care,['Dentists'],905-457-0778,"36 Vodden St E, Brampton, ON",0.0,0
Your Dentist - Dr. Punit Biala & Associates,['Dentists'],905-890-9898,"223 Ceremonial Dr, Mississauga, ON",0.0,0
Malton Family Dental,['Dentists'],647-370-1775,"2980 Drew Rd #128, Mississauga, ON",0.0,0
Smiles4U Dental,['Dentists'],905-455-3368,"80 Pertosa Dr, Brampton, ON",0.0,0
Smile4U Dental,['Dentists'],905-455-3368,"80 Pertosa Drive,Unit #8, Brampton, ON",0.0,0
Smileton Dental,['Dentists'],905-459-8898,"860 North Park Dr #8, Brampton, ON",0.0,0
Shifa Dental Care / Dr. Sadia Bakhtiar,['Dentists'],905-458-7833,"945 Peter Robertson Blvd Suite 5, Brampton, ON",0.0,0
Balogh Dental,['Dentists'],289-801-8185,*,0.0,0
Dr Theresa Allum,['Dentists'],905-453-6900,"102-118 Queen St W, Brampton, ON",0.0,0
WORLD DRIVE DENTISTRY,['Dentists'],905-696-7500,"70 WORLD DRIVE Unit 2, Mississauga, ON",0.0,0
Dr Daniela Rossi,['Dentists'],905-791-2878,"40 Peel Centre Dr, Brampton, ON",0.0,0
Faheim Madgi Dr,['Dentists'],905-450-3995,*,0.0,0
Dr Michelle Omura,['Dentists'],905-846-9655,"4-23 Conservation Dr, Brampton, ON",0.0,0
Torbram Dental,"['Dentists', 'Cosmetic Dentistry']",905-792-7163,"8550 Torbram Road, Brampton, ON",0.0,0
Still Waters Dental Group,['Dentists'],905-702-9744,"374 Guelph Street, Georgetown, ON",0.0,0
Valley Creek Dental,['Dentists'],905-913-1339,"1975 Cottrelle Boulevard. Unit 1, Brampton, ON",0.0,0
Oster Gerd Dr,['Dentists'],905-457-8113,"195 County Court Blvd, Brampton, ON",0.0,0
Canadian Dental Supplies Inc,['Dentists'],866-392-3368,"210 Brunel Road, Mississauga, ON",0.0,0
Dr A E Balogh,['Dentists'],905-457-2222,"10635 Creditview Road, Brampton, ON",0.0,0
Dental Square,['Dentists'],905-915-8988,"8920 Highway 50, Brampton, ON",0.0,0
SAJE Vital Signs,['Dentists'],800-461-7716,"6355 Kennedy Road, Units 2 & 3, Mississauga, ON",0.0,0
Springdale Family Dental,['Dentists'],905-793-8800,"55 Mountainash Rd, Brampton, ON",0.0,0
Peel Village Dental,['Dentists'],905-453-6661,*,0.0,0
Dr Chandandeep Kaur,['Dentists'],905-497-9213,*,0.0,0
