licenseNumber,legalName,licenseType,Address,licenseExpiryDate,zip,phone,email,hours
PAAA-VYNC-RIIR,#788 Collection LLC,Processor,", OKC, Oklahoma",2024-09-22,73142-1217,4053145119,gwen.brackett@gmail.com,As Needed
PAAA-LVQC-DXTP,1 DREAM DISTRIBUTION LLC,Processor,", OWASSO, Tulsa",2024-09-10,74055-3338,8444842420,info@1dreamok.com,10-4 Mon-Wed
DAAA-QE0P-SKHO,1 FINE FARMACY LLC,Dispensary,", Medford, Grant",2024-01-04,73759,(918) 284-4409,1finefarmacy420@gmail.com,Mon-Sat/10-6
DAAA-DQBI-QMLN,1002 WONDERLAND LLC,Dispensary,", Tulsa, Tulsa",2025-01-20,74112,(310) 279-9521,alansoleyman@yahoo.com,
GAAI-6F0B-IFB4,"1004 Ventures, LLC",Grower Indoor,", Woodward, Woodward",2025-02-08,73801,(267) 266-6666,xinleixiao@gmail.com,
GAAA-SUR5-I7VN,101 SE GREEN LLC,Grower,", WELEETKA, Okfuskee",2024-07-08,74880-8037,9172248133,ericachen81@gmail.com,M-F 9-5 or as needed for grow operations
DAAA-41YE-MY0G,1045 S. Meridian LLC,Dispensary,", Oklahoma City, Oklahoma",2024-04-04,73108,(405) 212-2270,denver.kitch@stabilitycannabis.com,24 Hour
DAAA-CNLS-6TBY,104th and South May Naturals LLC,Dispensary,"564 Ed Noble Parkway, Norman, Cleveland",2024-07-20,73071,(405) 493-9550,compliance@highsocietyok.com,24 hours
DAAA-MSZN-4IS6,1063 E 6TH LLC,Dispensary,"1023 E 6TH ST, OKMULGEE, Okmulgee",2025-03-09,74447-4705,4056691938,masonbrianne3@gmail.com,10-10
DAAA-VYFX-DLGV,10717 WONDERLAND LLC,Dispensary,", THE VILLAGE, Oklahoma",2023-09-15,73120-2622,(310) 279-9521,alansoleyman@yahoo.com,
GAAA-ZVLM-OKA1,108 Star LLC,Grower,", TULSA, Creek",2023-12-13,74131,(714) 406-7860,108star2021@gmail.com,9-5
DAAA-GHE8-CVRB,"1100 N Porter, LLC",Dispensary,"1100 N Porter Ave, Norman, Cleveland",2024-08-02,73071,(248) 504-1852,405flightclub@gmail.com,9am-12am
DAAA-EKJ9-NNRT,1121 DELTA 9 LLC,Dispensary,"1121 S MAIN ST, NEWCASTLE, McClain",2023-12-21,73065-5405,4058183014,newmed405@gmail.com,M-Sat 12PM-8PM
GAAI-NKMK-JFLY,"113 Management, LLC",Grower Indoor,", BROKEN ARROW, Tulsa",2024-11-08,74012-1272,9184084420,davedarc@gmail.com,By appointment/ Not open to the public
GAAA-GZDP-ZASW,11;11 Cultivation LLC,Grower,", HOLDENVILLE, Hughes",2023-06-26,74848-1676,(918) 740-7216,bmagallon@cctulsa.com,9-5
DAAA-F9TB-GR3O,1220 LAWTON LLC,Dispensary,"1220 NW SHERIDAN RD, LAWTON, Comanche",2025-02-13,73505-5210,4056691938,masonbrianne3@gmail.com,10-10
