teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,1,30,17,9,4,43,21,60
Sofapaka,SOF,Sofapaka,138488,#ffffff,2,30,16,9,5,49,27,57
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,3,30,12,15,3,33,20,51
Tusker,TUS,Tusker,138496,#ffdf00,4,30,13,11,6,40,27,50
Chemelil Sugar,CSU,Chemelil Sugar,138476,#ffff00,5,30,12,12,6,24,16,48
AFC Leopards SC,LDS,Leopards,76433,#ffffff,6,31,11,11,9,32,25,44
Muhoroni Youth FC,MUY,Muhoroni Youth,138484,#374df5,7,30,11,10,9,25,26,43
Sony Sugar,SSU,Sony Sugar,138490,#008633,8,31,9,14,8,28,23,41
Thika United,TUN,Thika Utd,138492,#374df5,9,30,9,12,9,30,31,39
Mathare United,MAU,Mathare Utd,138482,#ffff00,10,30,10,8,12,19,25,38
Western Stima FC,WST,Western Stima,138500,#ffff00,11,30,9,9,12,26,33,36
Kenya Rev. Authority,KAU,Kenya Revenue,138480,#374df5,12,30,10,3,17,22,40,33
Bandari FC,BAN,Bandari,138474,#3050c6,13,30,5,15,10,23,29,30
Kenya Commercial Bank,KCB,KCB ,138478,#00dd00,14,30,7,8,15,30,39,29
Nairobi City Stars FC,NCS,City Stars,138486,#273887,15,30,4,12,14,18,35,24
Top Fry Nakuru,TFN,Top Fry,138494,#374df5,16,30,3,8,19,13,38,17
