tournament,season,round,matchID,matchCustomID,matchStatus,homeTeamnName,homeTeamnNameCode,homeTeamID,awayTeamName,awayTeamNameCode,awayTeamID,homeScoreFT,awayScoreFT
Kenyan Premier League,20/21,1,9199970,exKbsladc,Finished,Mulembe United,MUD,257511,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,20/21,1,9198098,IDFsfxKb,Canceled,AFC Leopards SC,LDS,76433,Posta Rangers,PRA,213605,-,-
Kenyan Premier League,20/21,1,9199981,IDFsWufb,Finished,AFC Leopards SC,LDS,76433,Tusker,TUS,138496,2,2
Kenyan Premier League,20/21,1,9198096,zufbsnTid,Canceled,Bandari FC,BAN,138474,Zoo F.C.,ZFC,397163,-,-
Kenyan Premier League,20/21,1,9199982,zufbsNufb,Finished,Bandari FC,BAN,138474,Sofapaka,SOF,138488,1,1
Kenyan Premier League,20/21,1,9198101,LufbsIvYb,Finished,Nairobi City Stars FC,NCS,138486,Nzoia United,NZO,246033,2,2
Kenyan Premier League,20/21,1,9199983,DufbsfxKb,Finished,Posta Rangers,PRA,213605,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,20/21,1,9198100,HvYbsOYcc,Finished,Kariobangi Sharks,KAR,246032,Muhoroni Youth FC,MUH,257439,4,4
Kenyan Premier League,20/21,1,9198099,DufbsNufb,Postponed,Sofapaka,SOF,138488,Kenya Commercial Bank,KCB,138478,-,-
Kenyan Premier League,20/21,1,9198103,Yufbsladc,Postponed,Ulinzi Stars,ULS,138498,Mulembe United,MUD,257511,-,-
Kenyan Premier League,20/21,1,9198102,avfbsKzdc,Finished,Western Stima FC,WST,138500,Bidco United,BID,258735,0,0
Kenyan Premier League,20/21,1,9235346,gLdbsWufb,Finished,Tusker,TUS,138496,Gor Mahia FC,GOR,134306,2,2
Kenyan Premier League,20/21,1,9355768,DufbsNufb,Finished,Sofapaka,SOF,138488,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,20/21,1,9392821,avfbsnTid,Finished,Zoo F.C.,ZFC,397163,Western Stima FC,WST,138500,0,0
Kenyan Premier League,20/21,1,9510750,IDFsHufb,Finished,AFC Leopards SC,LDS,76433,Mathare United,MAU,138482,1,1
Kenyan Premier League,20/21,2,9209056,OYccsladc,Finished,Muhoroni Youth FC,MUH,257439,Mulembe United,MUD,257511,3,3
Kenyan Premier League,20/21,2,9209058,DufbsLufb,Finished,Kenya Commercial Bank,KCB,138478,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,20/21,2,9209054,HvYbsIvYb,Finished,Nzoia United,NZO,246033,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,20/21,2,9209061,IDFsKzdc,Finished,Bidco United,BID,258735,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,20/21,2,9209062,exKbsfxKb,Finished,Kakamega Homeboyz,KAH,213604,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,20/21,2,9209055,Nufbsavfb,Finished,Sofapaka,SOF,138488,Western Stima FC,WST,138500,3,3
Kenyan Premier League,20/21,2,9209060,zufbsWufb,Finished,Tusker,TUS,138496,Bandari FC,BAN,138474,0,0
Kenyan Premier League,20/21,2,9209057,HufbsnTid,Canceled,Zoo F.C.,ZFC,397163,Mathare United,MAU,138482,-,-
Kenyan Premier League,20/21,2,9209059,gLdbsYufb,Finished,Gor Mahia FC,GOR,134306,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,20/21,2,9233944,gLdbsnTid,Postponed,Zoo F.C.,ZFC,397163,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,20/21,3,9214843,zufbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Bandari FC,BAN,138474,2,2
Kenyan Premier League,20/21,3,9222046,IDFsNufb,Finished,AFC Leopards SC,LDS,76433,Sofapaka,SOF,138488,3,3
Kenyan Premier League,20/21,3,9222045,HvYbsKzdc,Finished,Kariobangi Sharks,KAR,246032,Bidco United,BID,258735,2,2
Kenyan Premier League,20/21,3,9222049,Wufbsavfb,Finished,Western Stima FC,WST,138500,Tusker,TUS,138496,2,2
Kenyan Premier League,20/21,3,9214842,YufbsKzdc,Canceled,Ulinzi Stars,ULS,138498,Bidco United,BID,258735,-,-
Kenyan Premier League,20/21,3,9214845,DufbsexKb,Finished,Kenya Commercial Bank,KCB,138478,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,20/21,3,9222048,IvYbsladc,Finished,Mulembe United,MUD,257511,Nzoia United,NZO,246033,2,2
Kenyan Premier League,20/21,3,9222044,fxKbsOYcc,Finished,Posta Rangers,PRA,213605,Muhoroni Youth FC,MUH,257439,0,0
Kenyan Premier League,20/21,4,9214844,LufbsKzdc,Finished,Bidco United,BID,258735,Nairobi City Stars FC,NCS,138486,0,0
Kenyan Premier League,20/21,4,9236742,IDFsavfb,Finished,AFC Leopards SC,LDS,76433,Western Stima FC,WST,138500,0,0
Kenyan Premier League,20/21,4,9214838,zufbsDufb,Finished,Bandari FC,BAN,138474,Kenya Commercial Bank,KCB,138478,1,1
Kenyan Premier League,20/21,4,9233945,YufbsOYcc,Finished,Muhoroni Youth FC,MUH,257439,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,20/21,4,9236748,fxKbsIvYb,Finished,Nzoia United,NZO,246033,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,20/21,4,9214849,HufbsfxKb,Postponed,Posta Rangers,PRA,213605,Mathare United,MAU,138482,-,-
Kenyan Premier League,20/21,4,9236745,NufbsHvYb,Finished,Sofapaka,SOF,138488,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,20/21,4,9214846,IDFsWufb,Postponed,Tusker,TUS,138496,AFC Leopards SC,LDS,76433,-,-
Kenyan Premier League,20/21,4,9233943,HvYbsnTid,Canceled,Zoo F.C.,ZFC,397163,Kariobangi Sharks,KAR,246032,-,-
Kenyan Premier League,20/21,4,9233942,gLdbsexKb,Canceled,Kakamega Homeboyz,KAH,213604,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,20/21,4,9233946,NufbsIvYb,Postponed,Nzoia United,NZO,246033,Sofapaka,SOF,138488,-,-
Kenyan Premier League,20/21,4,9236747,Wufbsladc,Finished,Tusker,TUS,138496,Mulembe United,MUD,257511,1,1
Kenyan Premier League,20/21,4,9643340,IDFsWufb,Finished,Tusker,TUS,138496,AFC Leopards SC,LDS,76433,2,2
Kenyan Premier League,20/21,5,9266449,gLdbsWufb,Finished,Gor Mahia FC,GOR,134306,Tusker,TUS,138496,1,1
Kenyan Premier League,20/21,5,9245401,Lufbsladc,Finished,Nairobi City Stars FC,NCS,138486,Mulembe United,MUD,257511,1,1
Kenyan Premier League,20/21,5,9245399,IvYbsKzdc,Finished,Bidco United,BID,258735,Nzoia United,NZO,246033,1,1
Kenyan Premier League,20/21,5,9245398,zufbsfxKb,Finished,Posta Rangers,PRA,213605,Bandari FC,BAN,138474,1,1
Kenyan Premier League,20/21,5,9245403,YufbsexKb,Finished,Ulinzi Stars,ULS,138498,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,20/21,5,9245402,avfbsHvYb,Finished,Western Stima FC,WST,138500,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,20/21,5,9245400,DufbsOYcc,Finished,Kenya Commercial Bank,KCB,138478,Muhoroni Youth FC,MUH,257439,1,1
Kenyan Premier League,20/21,6,9258567,exKbsIvYb,Finished,Kakamega Homeboyz,KAH,213604,Nzoia United,NZO,246033,0,0
