Position,TeamName,NameCode,ShortName,TeamID,Teamcolor,Played,Won,Drawn,Lost,GF,GA,Points
1,Gor Mahia FC,GOR,Gor Mahia,134306,#008000,38,25,9,4,67,27,84
2,Bandari FC,BAN,Bandari,138474,#3050c6,39,20,12,7,51,34,72
3,Sofapaka,SOF,Sofapaka,138488,#ffffff,40,17,15,8,56,40,66
4,Tusker,TUS,Tusker,138496,#ffdf00,40,18,12,10,60,43,66
5,Sony Sugar,SSU,Sony Sugar,138490,#008633,39,17,9,13,45,37,60
6,Mathare United,MAU,Mathare Utd,138482,#ffff00,39,16,16,7,55,40,64
7,Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,41,18,11,12,61,40,65
8,Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,40,13,17,10,43,35,56
9,Kariobangi Sharks,KAR,Kariobangi Sharks,246032,#45c283,39,11,17,11,44,43,50
10,Kenya Commercial Bank,KCB,KCB ,138478,#00dd00,38,15,12,11,46,38,57
11,AFC Leopards SC,LDS,Leopards,76433,#ffffff,40,14,12,14,42,42,54
12,Nzoia United,NZO,Nzoia Utd,246033,#4fbb6f,39,11,12,16,36,42,45
13,Western Stima FC,WST,Western Stima,138500,#ffff00,40,10,19,11,33,41,49
14,Chemelil Sugar,CSU,Chemelil Sugar,138476,#ffff00,38,8,10,20,29,53,34
15,Zoo F.C.,ZFC,Zoo,397163,#067345,41,8,13,20,37,60,37
16,Posta Rangers,PRA,Posta Rangers,213605,#c71328,41,9,15,17,35,40,42
17,Mulembe United,MUD,Mulembe Utd,257511,#00aa00,34,4,14,16,27,48,26
18,Dandora Love,DLO,Dandora Love,397130,#2971b1,34,5,3,26,31,85,18
