FirstName,LastName,Company,Title,Socials,Website,Biography
Dr. Lawrence,H. Summers,Former United States Secretary of the Treasury,,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Former Treasury Secretary Lawrence H. Summers is one of America's leading economists. In addition to serving as 71st Secretary of the Treasury in the Clinton Administration, Dr. Summers served as Director of the White House National Economic Council in the Obama Administration, as President of Harvard University, and as the Chief Economist of the World Bank.Dr. Summers’ tenure at the U.S. Treasury coincided with the longest period of sustained economic growth in U.S. history. He is the only Treasury Secretary in the last half century to have left office with the national budget in surplus.Dr. Summers has played a key role in addressing every major financial crisis for the last two decades. During the 1990s, he was a leader in crafting the U.S. response to international financial crises arising in Mexico, Brazil, Russia, Japan, and Asian emerging markets. As one of President Obama’s chief economic advisors, Dr. Summers’ thinking helped shape the U.S. response to the 2008 financial crisis, to the failure of the automobile industry, and to the pressures on the European monetary system. Upon Summers’ departure from the White House, President Obama said, “I will always be grateful that at a time of great peril for our country, a man of Larry’s brilliance, experience and judgment was willing to answer the call and lead our economic team.”The Economist recognized his influence when it defined the “Summers Doctrine,” an approach to economic policy during financial crises that fuses a microeconomic ""laissez faire"" mentality with macroeconomic activism. ""Markets should allocate capital, labour and ideas without interference, but sometimes markets go haywire, and must be counteracted forcefully by government.""Summers' five years as President of Harvard represented a time of major innovation for the University. He focused on equality of opportunity and removing all financial obligation from students with family incomes below $60,000 a year. He launched a major effort to make Boston, and Cambridge in particular, the global leader in life sciences research, with the formation of major programs for stem cell research and genomics. Perhaps most importantly, he led efforts to renew Harvard College with dramatic increases in study abroad programs, faculty-student contact, and collaboration across the University during his tenure.Currently, Dr. Summers is the President Emeritus and the Charles W. Eliot University Professor at Harvard University, where he became a full profes"
Ryan,Taylor,Brevan Howard,Group Head of Compliance and CAO Digital,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/ryan-taylor-715777b4/'}",{},"Ryan Taylor is a Senior Managing Director and Group Head of Compliance for Brevan Howard, in addition he is also the Chief Administrative Officer for Brevan Howard Digital.  Ryan is also a member of the Alternative Investment Managers Association (“AIMA”) Council and the Co-Chair of the AIMA UAE Manager Group.  Prior to joining Brevan Howard in September 2011, Ryan was a Director at Barclays Capital (2002 - 2011).  Prior to Barclays Capital, for the period 1997-2002, Ryan was an Associate at the Bank of England having joined the Bank on the graduate program; his role later moved to the FSA when banking supervision was transferred to that organisation.Ryan graduated from City University Business School with a BSc (Hons) in Insurance and Investment (1997)."
Daniel,Liebau,Modular Asset Management,"Chief Investment Officer, Modular Blockchain Fund","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/liebauda'}",{},"Daniel is the Chief Investment Officer of the Modular Blockchain Fund. Modular Asset Management is a Singapore-based Investment Manager. Dan has spent his career focused on financial technology. As the former Head of Global Banking and Markets Technology at HSBC in Singapore and Japan, Daniel combines 20+ years of experience of financial technology management in UBS, Close Brothers, Barclays Capital and HSBC with more than six years of entrepreneurial experience as founder of Lightbulb Capital, advising financial institutions and start-ups on blockchain strategies. ​His first investments in blockchain platforms were in 2016 (Ethereum) and 2017 (Qtum). Daniel is an active researcher: He is the Associate Editor-In-Chief of Worldscientific’s ""Annual Review of Fintech"" journal and has reviewed submissions, amongst others, for ""Small Business Economics” and ""Frontiers in Blockchain"" journals. He is also working towards his PhD within the Finance department of Rotterdam School of Management, Erasmus University. His research explores effects of blockchain and AI on financial markets. He teaches a course on blockchain and digital assets at Singapore Management University and is a published expert in digital assets (An Essay on Minimum Disclosure Requirements for Cryptocurrency and Utility Token Issuers, Cryptoeconomic Systems Journal (MIT Press); Blockchain and ESG (working paper).He graduated with a Master of Science in Innovation from Singapore Management University and holds a Master in Finance from IE business school in Madrid, Spain. Since 2020, Dan is also a Financial Data Professional, a charter conferred by the FDP Institute (part of CAIA)."
Sarah,Cocker,Amplify Project Management Services,Managing Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/sarah-cocker-84b07110/'}",{},"Sarah is a dynamic communicator with over 25 years’ experience in finance, media, corporate communications and academia. Her international experience sees her working globally as a consultant and coach for cabinet ministers, CEOs, Chairpersons and senior VPs, to define and achieve their strategic communication objectives. Sarah regularly hosts in-person and virtual events and moderates at international conferences on diverse topics from smart data to sustainability. Sarah graduated from CASS business school, UCL with a BSc Hons in Economics. She started her career as an equity analyst at BNP-Paribas, then led the London Latin American equity sales desk, placing high profile IPOs to European funds. This led her to financial journalism, where she globally anchored the CNBC breakfast show for many years and worked for CBC and BSKYB. Before moving to Dubai ten years ago, she worked at IMD business school in Switzerland, coaching and developing communication workshops for the Masters programme. Since living in Dubai, she co-hosted the well-known Business Breakfast show on Dubai Eye Radio."
Dr Sanjit Singh,Dang,U First Capital,Chairman and Co-Founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Dr Sanjit Singh Dang has been a successful Venture Capitalist, Corporate Executive, Board Member, Speaker and Writer in Silicon Valley for almost two decades. He is currently the Co-Founder and Chairman of U First Capital. They provide Venture Capital as a Service to Corporations by bringing Startups, University IP, etc in the Corporate's specific areas of interest (dedicated model). Prior to that, he was at Intel Capital where he led Venture Capital investments in Enterprise Software. He has been an Investor and on the Board of several companies, including True Fit (AI for eCommerce, Raised $100M), Reflektion (AI recommendation for eCommerce, Raised $42M), Helpshift (AI-driven Customer Service, Raised $38M) and Enlighted (Smart Lighting, Acquired by Siemens in 2018). He is also an investor in Mirantis (Cloud Computing, raised >$100M), GoodData (SaaS Business Intelligence, raised over $100M) and Arcadia Data (Big Data 2.0, Raised $26M).He is on the Advisory Council of UN’s World Artificial Intelligence Organization. He has also been on the University of California President's Innovation Council. Sanjit has the fastest Engineering PhD from the University of Illinois (2yrs 9mo after undergrad), which he received in 2000 with top research awards. He also attended the VC Executive program at Haas School of Business, UC Berkeley. He’s an invited Speaker at several top conferences, eg SURGE/WebSummit, Venture Summit West, TiECon, Collision, ShopTalk, McKinsey Leadership Summit, Silicon Valley Open Doors, Global AI conference, etc. He’s a mentor at Stanford and Berkeley’s Entrepreneurship programs.Sanjit has over a decade of Exececutive leadership experience in Product Design, Business Development and Strategy across several domains: Big Data, Natural Language Processing, 3D Camera/Apps, Supply-Chain Analytics and Flash Memory. He has managed $2Bill/year accounts and executed >30 partnership deals in $100M-$2Bill range. Always striving to be ahead of the curve, Sanjit worked on Big Data Analytics before industry created the term 'Big Data'. Similarly, he launched 2 online courses during graduate school in 1999 and published iconic papers on learnings, way before the MOOC revolution started."
Henri,Arslanian,Nine Blocks Capital Management,Co-Founder and Managing Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/henriarslanian'}",{},"Henri Arslanian is the co-founder and managing partner of Nine Blocks Capital Management, an institutional-grade hedge fund focused exclusively on digital assets, with a market-neutral crypto fund focused on generating alpha from inefficiencies in crypto markets using relative value, arbitrage, and quantitative strategies. Henri was previously a partner and global crypto leader at PwC. In that role, he advised many of the world’s leading crypto exchanges, investors, financial institutions, and tech firms on their crypto initiatives, as well as numerous governments, regulators, and central banks on crypto regulatory and policy matters.  With over 500,000 LinkedIn followers, Henri is a TEDx and global keynote speaker, a best-selling published author, and is regularly featured in global media, including Bloomberg, CNBC, CNN, BBC, The Wall Street Journal, The Economist, and the Financial Times.  Henri was named by LinkedIn as one of the 2022 global Top Voices in Finance and is the host of the CryptoCapsules™ social media video series as well as The Future of Money podcast and newsletter. Henri was named by Onalytica as the #1 most influential individual on Finance globally on LinkedIn out of 50k+ individuals working at the top professional services and management consulting firms in the world.  Chambers Global named Henri the “highest profile FinTech consultant in Hong Kong,” Blockchain Asset Review named him the “Most Influential Crypto and Blockchain Thought Leader in Asia,” and Asian Private Banker awarded him the “FinTech Changemaker of the Year” award. Henri is the author of numerous best-selling crypto and fintech-related books, including “The Book of Crypto” (Palgrave, 2022), which became a global top 10 best-seller in financial services, and “The Future of Finance” (Palgrave 2019, Palgrave), which became not only a global top 10 best-seller in financial services but was also recognized as one of the “Best FinTech Books of All Time” by Bookauthority. Henri was elected as the first Chairman of the FinTech Association of Hong Kong. He is also an appointed member of Hong Kong securities regulator SFC FinTech Advisory Group, the Hong Kong central bank's Institute for Monetary and Financial Research council of advisers, and the Dubai DIFC innovation panel. He is also an Adjunct Professor at the University of Hong Kong, where he teaches the first FinTech university course globally.  Henri started his career as a financial markets and funds lawyer in Canada an"
Artem,Bespaloff,Asic Jungle / AJX GROUP,President / Founder / CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/artem-bespaloff/'}",{},"Artem Bespaloff is a distinguished entrepreneur and the CEO & Founder of AJX Group & Asic Jungle, a globally recognized wholesaler specializing in ASIC computers and high-performance computing (HPC) hardware. In 2020, Artem established Asic Jungle as the pioneering ASIC-specific peer-to-peer (P2P) marketplace. However, in response to the escalating institutional demand for bitcoin mining, he astutely adapted the business model to transform Asic Jungle into a dedicated brokerage firm, catering to clients on an exclusively individual basis. Since then, Asic Jungle has achieved unparalleled success, emerging as a premier global brokerage firm renowned for its expertise in ASIC miners and hosting services, having facilitated the sale of well over 150,000 individual mining unitsAlong with operating ASIC Jungle, Artem is now focused on building a Strategic Bitcoin Mining Fund, aiming to generate alpha through a diversified and opportunistic approach to bitcoin mining. The fund's goal is to provide investors direct exposure to bitcoin mining and strategically maximize revenue, while decreasing risk through portfolio diversification. Prior to his business ventures, Artem studied Finance at the John Molson School of Business and is a member of the Golden Key Honours Society."
President José María,Aznar,Spanish Government,Former Prime Minister,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"José María Aznar chairs the FAES Foundation and the Atlantic Institute of Government. He belongs to the Board of Directors of News Corp; is Latham & Watkins Special Advisor; and member of the Board of Directors of Afiniti, the International Advisory Board of Barrick Gold Corporation and the International Advisory Board of the Atlantic Council of the US. President of the Government from 1996 to 2004. After the absolute majority of the Popular Party in 2000, he voluntarily resigned to run in 2004. President of the PP between 1990 and 2004.He was a Distinguished Scholar at Georgetown University, and a Distinguished Fellow of the SAIS at Johns Hopkins University."
William,Reichert,Charles Russell Speechlys LLP,Head of Corporate in the Middle East,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"William leads our Middle East Corporate Practice. He is a dual-qualified corporate lawyer with extensive experience advising on high-value complex deals in a variety of sectors, including technology, healthcare, energy and natural resources and real estate. William has more than 20 years of experience advising on matters ranging from seed series investments for start-ups, to complex, multi-billion dollar matters across numerous jurisdictions. His experience includes advising on M&A, joint ventures, private equity and venture capital transactions, restructurings and compliance matters. William’s client base is very diverse and includes local and international clients across a broad range of industry sectors with a particular focus on technology, healthcare, retail, energy and real estate. He is regularly invited to speak at industry and legal events related to these sectors and various other areas. Prior to moving to the Middle East, William was based in Moscow, Russia for ten years where he was a founding partner and head of the office of a major international firm. During his tenure in Russia, William advised on some of the largest and most complex M&A, joint venture and private equity investments and transactions in the Russian market. His international experience also includes work in Brussels, Belgium and Paris, France. William is a dual-qualified lawyer admitted in Minnesota, USA and as a Solicitor, England and Wales. He speaks English, Russian, French and Spanish."
Charles,Myers,Signum Global Advisors,Chairman & Founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/charles-myers-42485222/'}",{},"Charles Myers, Chairman and Founder of Signum Global Advisors, has over 22 years of US political and electoral experience advising candidates in Presidential, Senate, House of Representatives and Gubernatorial and Mayoral races, including Hillary Clinton for President 2016 and Joe Biden for President 2020. He also has 30 years of experience in global financial markets.As Chairman, Charles works with financial institutions and multi-national businesses to anticipate and assess policy agendas and announcements. Areas of expertise include US foreign policy and the implications of the Biden presidency in the US, Europe and Asia. Charles also forecasts global trade policy and energy dynamics.Formerly Vice Chairman of Evercore ISI, he was the Founding Partner & Head of the Institutional Equities business. Prior to that, Charles served as Global Head of Equities and Board Member of Fox-Pitt, Kelton. Charles has a BA from Amherst College in Massachusetts and a post-graduate M. Phil degree from Cambridge University in England."
