BusinessName,NumberofReviews,ReviewRating,Phonenumber,Licensenumber,Website,Address,socialmediaLinks
LeCut Construction,7,5.0,(408) 816-3688,1080990,https://www.houzz.com/trk/aHR0cDovL3d3dy5sZWN1dC5jbw/7a933b305980f4fc796d969d6cc9a874/ue/NzAxNTA2ODI/17a124826cbc4460b4f7ffeefa0cd259,1762 Technology DriveCaliforniaUnited States,
Build By Titan,27,5.0,(408) 338-7788,948867,https://www.houzz.com/trk/aHR0cDovL3d3dy5idWlsZGJ5dGl0YW4uY29t/0da8aec6bcbcace663e53d517c2b2f3d/ue/MTgzNzEzNTM/d4e7c561f15235bbaea99472086d58ac,,['http://www.buildbytitan.com/']
"Tycon Builders, Inc.",5,5.0,(415) 786-9082,723978,https://www.houzz.com/trk/aHR0cDovL2luZm9AdHljb25idWlsZGVyc2luYy5jb20/60f3bcf9cdf9fca2ed7d074fe64d3333/ue/MTY5MDQ4Nzg/c87997f99e3b1cbc0ca9c7e7f63d9084,,"['https://www.facebook.com/tyconbuildersinc', 'https://twitter.com/tycon_builders', 'https://www.linkedin.com/in/james-reid-b4a4611b', 'https://www.tyconbuildersinc.com/']"
"Iron Roots Construction, Inc.",3,5.0,(408) 320-0755,1029866,https://www.houzz.com/trk/aHR0cHM6Ly9idWlsZHdpdGhpcmMuY29t/4bca51e123130cfedc11b07227c0aac8/ue/NTk4MDA4MDI/bdfec003271abee97384b5159cc9eb48,,
"Equity Builders Group, Inc",5,5.0,(650) 547-9839,860608,https://www.houzz.com/trk/aHR0cHM6Ly9lcXVpdHlidWlsZGVyc2luYy5uZXQ/596ddc52c4c8f21e4d631b637f0b2153/ue/MTQ1MTkwNA/8fcf50f29c2815b751f1da21d7115ace,P.O. Box 1429CaliforniaUnited States,"['linkedin.com/in/jason-fitzsimons-0a1a293b', 'https://www.equitybuildersinc.net/']"
McDunn ADUs,22,5.0,(510) 710-1907,966969,https://www.houzz.com/trk/aHR0cHM6Ly9tY2R1bm5hZHVzLmNvbQ/704a79df1a4bd5d9cc6433c707ac54eb/ue/NDE2MjQ5Mg/2c1ac1c5041995088a3582f4c7d638a0,1212 Glen AvenueCaliforniaUnited States,
Wise Builders Remodeling,56,4.9,(408) 650-2432,1009320,https://www.houzz.com/trk/aHR0cHM6Ly93d3cud2lzZWJ1aWxkZXJzLm9yZw/774de950ee512710dc21c4e331302ac3/ue/Mjk5MzQwMjk/fc06d8a712be2cbae351c93d89a9a15e,2355 Paragon DrCaliforniaUnited States,"['wisebuildersca', 'wisebuildersca', 'www.wisebuilders.org']"
Paniagua Construction Inc.,7,4.9,(415) 860-2482,717691,https://www.houzz.com/trk/aHR0cDovL3d3dy5wYW5pYWd1YWNvbnN0cnVjdGlvbmluYy5vcmc/a28f56c322a84503462e87a286dbfaec/ue/NDEwMDE3OTI/3eae370e08cf4dd0c398d30a1d1b6ef7,176 Randall StreetCaliforniaUnited States,"['https://www.facebook.com/PaniaguaConstructionInc/', 'https://www.instagram.com/paniaguaconstruction/']"
New Key Construction,19,5.0,(925) 954-8731,1050306,https://www.houzz.com/trk/aHR0cDovL25ld2tleWNvbnN0cnVjdGlvbi5jb20/a6cd5e57535fd1472857b5303f4bc5d6/ue/NTY2NTI3NDI/0d6eecf358e03d097254e0789f4d76ba,2890 North Main StreetCaliforniaUnited States,"['https://www.facebook.com/newkeyconstruction/', 'https://www.linkedin.com/company/new-key-construction', 'www.newkeyconstruction.com']"
Cano Eixo Construction,26,4.8,(925) 724-9076,905507,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuY2Fuby1laXhvaW5jLmNvbS8/3f4a50c0e5f86533c94f86648e453510/ue/NTk5NDIw/c27824dd407b0127f885b96b285dd77e,4562 Contractors PlaceCaliforniaUnited States,
P.K. Remodeling & Design,19,5.0,(510) 333-1566,975335,https://www.houzz.com/trk/aHR0cDovL3d3dy5wa3JlbW9kZWxpbmcuY29t/f43db7ddf205cd4a9b875bdcdb691df6/ue/MjkxODgzOTQ/962c8980bdf6f28c3815ff41667ecaa9,124   Haight AvenueCaliforniaUnited States,
Caribou Builders Group Inc.,10,5.0,(818) 818-3297,1108665,https://www.houzz.com/trk/aHR0cHM6Ly9jYXJpYm91YnVpbGRlcnMuY29t/d9236ff0ee499a352cf8f390747c94dc/ue/NzA4NDg1MzY/0df698a87f2a0a6ee836ac37d23d127c,,"['https://www.facebook.com/CaribouBuilder', 'https://www.linkedin.com/company/caribou-builders-group-inc/?viewAsMember=true', 'https://www.instagram.com/cariboubuilders_official/']"
NCM Painting & Construction Corp.,14,5.0,(408) 835-8654,1026595,https://www.houzz.com/trk/aHR0cDovL25jbXBhaW50aW5nYW5kY29uc3RydWN0aW9uLmNvbQ/157042a2c4c156918675d3ebfeb20a99/ue/NDg2MjYwMjE/6ade42f56b837a8003dc5d90e1a4876a,CaliforniaUnited States,['https://www.facebook.com/NCM-Painting-382178712233580/']
Monsen Collins Builders,11,4.9,(650) 773-8402,1077882,https://www.houzz.com/trk/aHR0cDovL3d3dy5tb25zZW5jb2xsaW5zYnVpbGRlcnMuY29t/659e12751796fb9ed9c23d064c9c06fe/ue/NDgxMzE0NQ/2e655b10e5d0bdd81baeabb0ab1a8d2e,14320 Saratoga-Sunnyville Rd.CaliforniaUnited States,"['https://www.linkedin.com/company/29291460/', 'http://www.monsencollins.com']"
Phillip Price Construction,14,4.9,(408) 499-8093,494679,https://www.houzz.com/trk/aHR0cHM6Ly93d3cucHBjLWNhLmNvbS8/a55de55003ccb1b1614d771ea0cae996/ue/MTkwNDcyNw/c4b1e3059f987ca25f446f6828869bae,16945 Malaga drCaliforniaUnited States,"['https://www.facebook.com/phillippriceconstruction/', 'https://www.linkedin.com/pub/phil-price/1b/208/b03', 'https://www.ppc-ca.com/']"
