,venue,Website URL,Description
0,Acrisure Arena,https://acrisurearena.com,"Acrisure Arena is an 11,000-capacity arena located in the heart of Greater Palm Springs. Acrisure Arena is home to the AHL Coachella Valley Firebirds and includes an adjoining community ice skating facility, the Berger Foundation Iceplex. Hosting 120+ concerts, NBA, NCAA, and Family Shows annually draws from both San Diego and Los Angeles DMAs."
1,Addition Financial Arena,https://www.additionfiarena.com,"Addition Financial Arena Is a multi-purpose entertainment arena located at the University of Central Florida Campus. The arena features up to 10,000 seats and hosts a wide variety of events ranging from nationally renowned artists, family shows, college and professional sporting events, trade shows and conventions. The Arena is home to the University of Central Florida Knights Men’s and Women’s Basketball, Women’s Volleyball and the Pro Volleyball Federation’s Orlando Valkyries. Connected to the arena is The Venue at UCF, a 1,400-seat multipurpose facility that is home to the UCF Volleyball program and can be utilized for exhibition space as well as transformed for concerts, banquets, and sporting events."
2,Alerus Center,https://www.aleruscenter.com/,"This seamless complex offers a diverse arena space that can be used for indoor football, trade shows, concerts and more, as well as a full conference center that can host conventions, meetings, weddings, banquets, and more. Alerus Center exists to provide premier entertainment and events that stimulate economic impact and improve the quality of life for Grand Forks area citizens. Our staff is passionate about providing a great experience for guests, promoters, and event planners."
3,American Bank Center,https://americanbankcenter.com/,"American Bank Center is an entertainment complex owned by the city of Corpus Christi and managed by OVG360 with OVG Hospitality. The complex is located in downtown Corpus Christi, Texas and consists of an arena, auditorium, and convention center. The facility hosts numerous conventions, trade shows, exhibitions, live performances and sporting events. Located directly on the beautiful Corpus Christi bay downtown, American Bank Center is flexible for any group offering complimentary Wi-Fi, premium food and beverage options. With over 138,000 sq. ft. of multifunctional exhibit hall and meeting space. The American Bank Center is the ideal venue for tradeshows, conferences or conventions. For details on the convention center or to book an exhibit or event space visit www.americanbankcenter.com or call 361-826-4700."
4,Amica Mutual Pavilion,https://www.amicamutualpavilion.com/,"Home to the AHL Providence Bruins and the Big East Providence College Men’s Basketball team, the AMP PVD hosts a wide variety of sporting events, concerts, family shows, trade shows and more. The arena floor can be set up to accommodate center stage shows, table seating, ice, dirt, basketball, and event trade show booths. The 14,000-seat Amica Mutual Pavilion offers 31,000 square feet of arena space with a ceiling height of 86 feet, a 25,000-square-foot concourse, a 9,000-square-foot lobby, 20 luxury suites, and five additional meeting/hospitality rooms. There are 5,500 hotel rooms in the Greater Providence area—1,800 located within walking distance of the AMP."
5,Amphitheater at Las Colonias Park,https://www.theampgj.com,"Amphitheater with 4,000 capacity located only a mile from Downtown Grand Junction."
6,Angel of the Winds Arena,https://www.angelofthewindsarena.com,"Angel Of The Winds Arena is a three venue, state-of-the-art multi-purpose complex located in the heart of downtown Everett, WA. AOTW Arena is owned by the Everett Public Facilities District and managed by Oak View Group, the expert in hosting and entertainment, partnering with over 300 clients to create memorable experiences for millions of visitors every year. This seamless complex offers a NHL regulation ice rink open year-round, diverse arena space that can be used for indoor football, trade shows, concerts and more, as well as a full conference center that can host conventions, meetings, weddings, banquets, and more. Angel Of The Winds Arena is Snohomish County’s premier entertainment and convention facility. AOTW Arena is an exciting place for residents and visitors to enjoy a variety of entertainment activities and a superior convention facility that generates a positive economic impact for the community."
7,Arie Crown Theater,https://www.ariecrown.com/,"Located in the acclaimed Lakeside Center in Chicago’s renowned McCormick Place Convention Center, the Arie Crown Theater features a 4,188-seat proscenium arch venue. For over 60 years, the Arie Crown has hosted thousands of Corporate, Civic and Public events featuring many of the most prominent companies and celebrated artists in the world."
8,Arthur R. Outlaw Mobile Convention Center,https://www.mobileconventions.com,"Anchoring downtown Mobile, Alabama, the Arthur R. Outlaw Mobile Convention Center offers 317,000 square feet of event space, including 16 meeting rooms, two ballrooms, and two exhibit halls totaling 100,000 square feet. This award-winning venue features covered walkways to nearby hotels and outdoor terraces with stunning views of the Mobile River. The expert staff provides comprehensive event support, from pre-planning to on-site coordination, ensuring a seamless experience for attendees. Enjoy the convenience and charm of Mobile’s vibrant downtown, with dining, shopping, and cultural attractions just minutes away."
9,Asteria Theatre at Colorado Mesa University,https://www.cmustages.com,"The Asteria Theatre has a capacity of 869 seats and is the only theatre in Colorado with three tiered seating that includes a VIP club level with private boxes and a separate bar to service that area. As a vibrant hub within the Colorado Mesa University community, the Asteria Theatre serves as a dynamic learning environment, fostering hands-on learning opportunities while offering world-class entertainment for the western Colorado region."
