Product_link,Product_name,Product_price
https://megawines.co.ke/product/155/,155,300.00
https://megawines.co.ke/product/1792-small-batch-750ml/,1792 SMALL BATCH 750ML,5280.00
https://megawines.co.ke/product/19-crimes-chardonnay-750ml/,19 CRIMES CHARDONNAY 750ML,1450.00
https://megawines.co.ke/product/4th-street-sweet-red-1500ml/,4TH STREET SWEET RED 1500ML,2000.00
https://megawines.co.ke/product/8pm-whisky-1000ml/,8PM WHISKY 1000ML,1400.00
https://megawines.co.ke/product/akashi-red-whisky-500ml/,AKASHI RED WHISKY 500ML,3600.00
https://megawines.co.ke/product/akashi-white-oak-500ml/,AKASHI WHITE OAK 500ML,5460.00
https://megawines.co.ke/product/akashi-white-oak-distillery/,AKASHI WHITE OAK DISTILLERY,5460.00
https://megawines.co.ke/product/aperol-apertivo-750ml/,APEROL APERTIVO 750ML,2500.00
https://megawines.co.ke/product/ballantines-1000ml/,BALLANTINES 1000ML,2900.00
https://megawines.co.ke/product/ballantines-12yrs-1000ml/,BALLANTINES 12YRS 1000ML,4500.00
https://megawines.co.ke/product/ballantines-12yrs-750ml/,BALLANTINES 12YRS 750ML,4500.00
https://megawines.co.ke/product/ballantines-2000ml/,BALLANTINES 2000ML,7000.00
https://megawines.co.ke/product/ballantines-750ml/,BALLANTINES 750ML,2300.00
https://megawines.co.ke/product/ballantines-miltonduff-15yrs-700ml/,BALLANTINES MILTONDUFF 15YRS 700ML,5560.00
https://megawines.co.ke/product/ballantines-whiskey-1-14ltr/,BALLANTINES WHISKEY 1.14LTR,2350.00
https://megawines.co.ke/product/basil-haydens-whiskey-1000ml/,BASIL HAYDEN’S WHISKEY 1000ML,6200.00
https://megawines.co.ke/product/bells-whisky-1000ml/,BELLS WHISKY 1000ML,1900.00
https://megawines.co.ke/product/bells-whisky-750ml/,BELLS WHISKY 750ML,1500.00
https://megawines.co.ke/product/benchmark-750ml/,BENCHMARK 750ML,1200.00
https://megawines.co.ke/product/best-classic-whisky-750ml/,BEST CLASSIC WHISKY 750ML,1120.00
https://megawines.co.ke/product/black-white-1000ml/,BLACK & WHITE 1000ML,1850.00
https://megawines.co.ke/product/black-white-750ml/,BLACK & WHITE 750ML,1400.00
https://megawines.co.ke/product/black-grouse-1000ml/,BLACK GROUSE 1000ML,3600.00
https://megawines.co.ke/product/black-grouse-alpha-edition-750ml/,BLACK GROUSE ALPHA EDITION 750ML,3800.00
https://megawines.co.ke/product/blantons-gold-750ml/,BLANTONS GOLD 750ML,10500.00
https://megawines.co.ke/product/blantons-single-barrel-750ml/,BLANTONS SINGLE BARREL 750ML,10500.00
https://megawines.co.ke/product/bonato-aperitivo-750ml/,BONATO APERITIVO 750ML,1450.00
https://megawines.co.ke/product/bond-7-350ml/,BOND 7 350ML,720.00
https://megawines.co.ke/product/bond-7-750ml/,BOND 7 750ML,1550.00
https://megawines.co.ke/product/buffalo-trace-1000ml/,BUFFALO TRACE 1000ML,4800.00
https://megawines.co.ke/product/buffalo-trace-750ml/,BUFFALO TRACE 750ML,3600.00
https://megawines.co.ke/product/bulleit-95-rye-700ml/,BULLEIT 95 RYE 700ML,4300.00
https://megawines.co.ke/product/bulleit-bourbon-1000ml/,BULLEIT BOURBON 1000ML,6000.00
https://megawines.co.ke/product/bulleit-bourbon-10yrs-700ml/,BULLEIT BOURBON 10YRS 700ML,6250.00
https://megawines.co.ke/product/bulleit-bourbon-rye-1000ml/,BULLEIT BOURBON RYE 1000ML,6000.00
https://megawines.co.ke/product/bushmill-honey-1000ml/,BUSHMILL HONEY 1000ML,2800.00
https://megawines.co.ke/product/bushmill-irish-white-1000ml/,BUSHMILL IRISH WHITE 1000ML,4100.00
https://megawines.co.ke/product/bushmill-red-bush-700ml/,BUSHMILL RED BUSH 700ML,1600.00
https://megawines.co.ke/product/bushmill-white-700ml/,BUSHMILL WHITE 700ML,2900.00
https://megawines.co.ke/product/bushmills-black-bush-1000ml/,BUSHMILLS BLACK BUSH 1000ML,5000.00
https://megawines.co.ke/product/bushmills-irish-whisky-1000ml-g-p/,BUSHMILLS IRISH WHISKY 1000ML-G/P,3950.00
https://megawines.co.ke/product/bushmills-steamship-700ml/,BUSHMILLS STEAMSHIP 700ML,9500.00
https://megawines.co.ke/product/campari-1000ml/,CAMPARI 1000ML,3000.00
https://megawines.co.ke/product/campari-750ml/,CAMPARI 750ML,2500.00
https://megawines.co.ke/product/campari-negroni-1000ml/,CAMPARI NEGRONI 1000ML,2100.00
https://megawines.co.ke/product/canadian-club-12yrs-700ml/,CANADIAN CLUB 12YRS 700ML,3500.00
https://megawines.co.ke/product/canadian-club-750ml/,CANADIAN CLUB 750ML,2100.00
https://megawines.co.ke/product/canadian-club-classic-12yrs-1000ml/,CANADIAN CLUB CLASSIC 12YRS 1000ML,4000.00
https://megawines.co.ke/product/carpano-bianco-1000ml/,CARPANO BIANCO 1000ML,1400.00
https://megawines.co.ke/product/chivas-12yrs-500ml/,CHIVAS 12YRS 500ML,2250.00
https://megawines.co.ke/product/chivas-15yrs-750ml/,CHIVAS 15YRS 750ML,6200.00
https://megawines.co.ke/product/chivas-regal-12yrs-1000ml/,CHIVAS REGAL 12YRS 1000ML,5500.00
https://megawines.co.ke/product/chivas-regal-12yrs-1140ml/,CHIVAS REGAL 12YRS 1140ML,7000.00
https://megawines.co.ke/product/chivas-regal-12yrs-2000ml/,CHIVAS REGAL 12YRS 2000ML,9350.00
