created_at,favorite_count,full_text
Tue Dec 17 16:05:53 +0000 2024,2175,"Women and Male feminists: Amerix is a toxic misogynist.

Also, women (alone): I need a MASCULINE MAN, not a blue-pilled soy boy who worships me.

CHANGE or PERISH

#BetterTogether https://t.co/TmV1faq5k9"
Sun Dec 15 09:22:47 +0000 2024,11,"Men's health and wellness enthusiast Amerix asserts that a man should earn more than his wife, arguing that the reverse could hinder family growth and jeopardize the survival of the marriage.

Photo: Amerix (X) https://t.co/svzZi9SdPq"
Tue Dec 17 14:01:56 +0000 2024,2143,"What your body doesn't need:

• Folic acid

• Fluoride 

• Calcium supplements 

They are synthetic, can't be absorbed, and are useless.

What your body needs:

• Vitamin K2

• Folate (Vitamin B9)

They are natural and essential.

BEST sources of Vitamin K2:
• Meat
• Beef Liver
• Egg yolk
• Butter
• Fermented foods eg Sauerkraut and Fermented raw milk.

BEST sources of Folate:
• Eggs
• Beef Liver
• Dark leafy veggies 

However, Folate and Vitamin K2 will support your nutritional needs if you synergize with Vitamin B12 and Vitamin D3.

Vitamin B12 is Cobalamin.

BEST sources of Vitamin B12:
• Meat
• Fish
• Egg
• Bone broth

Vitamin D3 is Cholecalciferol.

BEST sources of Vitamin D3:
• The sun
• Salmon
• Sardines: Omena
• Egg yolk
• Beef Liver

If you must supplement folate, then get L-methyl folate. It is the active form of folate (NOT folic acid).

If you must supplement cobalamin, then get methyl-cobalamin. It is the active form of Vitamin B12 (NOT cynocobalamin).

The system pays 'experts' to push for useless synthetic products because these products fetch a lot of money for the Big Pharma.

For example, folic acid is in every processed grains, fluor, pasta, and drinks, while fluoride is in toothpaste and mineral water. 

You don't need fluoride,

You don't need folic acid,

You don't need calcium supplements.

You need FOOD and the SUN.

You need Vitamin K2, Vitamin B9, Vitamin B12, and Vitamin D3.

Stop profiteering the corrupt pharmaceutical industry.

#BetterTogether"
Tue Dec 17 15:16:05 +0000 2024,21,"Najua Saturday Amerix ataropokwa sana after ameona hio story ya Alma mutheu 😂, 
   can't wait to take notes https://t.co/M359jAv8zn"
Tue Dec 17 18:02:39 +0000 2024,817,"Mkuu,

Yamune!

Si utuwachie tu hata hii kidogo.

Kwani utafaulu kufanya kila kitu?

Tuwachie tukusaidie. https://t.co/NmzozGb6ed"
Tue Dec 17 15:08:31 +0000 2024,1313,"Seed oils should only be used as industrial lubricants, not food.

They should be used for what they were originally meant to do: LUBRICATE ENGINES.

Don't consume them.

#BetterTogether https://t.co/6rI7hrsQ7P"
Tue Dec 17 06:06:47 +0000 2024,1198,https://t.co/T7Tcm0s7pw
Tue Apr 23 19:05:01 +0000 2024,4418,"Hi, @amerix looks like a simp took Njoki Muria to Dubai... https://t.co/6K76Rn8LKp"
Mon Dec 16 06:16:43 +0000 2024,11991,"To the person who has received a termination letter,

- Hang in there. 

- Hold on tight.

- Your life has just started.

- Your best is yet to come.

This loss will open infinite opportunities, and you will not believe it.

Don't dwell on the loss. Focus on tomorrow.

#ManDay"
Thu Dec 12 06:32:35 +0000 2024,106,"MAINTAIN THE PRESSURE 
Kimani Ichungwa|Amerix
Kasmuel|Muhoho|Gaitho 
#JamhuriDay2024 
#IndependenceDay
#Proudlykenyan|#RutoMustGo 
#MyCowsMyChoice https://t.co/lNUxjXQkCL"
Sun Dec 31 09:51:52 +0000 2023,3420,"Anyway, its been 5 Months of constant progress. Around July i was quite overweight. Started reducing sugars, reduced the chapos and started doing pressups everyday. Asante @amerix 
By next year december, nitakuwa natishia @AntoGachau na @abuyamasta https://t.co/10e1ehj7kL"
Tue Dec 17 06:40:43 +0000 2024,434,Time to revisit Amerix's TL brethren. https://t.co/qoojhfyFrn
Sun Nov 10 19:21:19 +0000 2024,6900,This is the guy saying Amerix is a misogynist and misleading men on Aljazeera. 😆 https://t.co/2aO3cmr23B
Tue Sep 17 08:02:49 +0000 2024,5855,"Amerix vouched for a Ruto Presidency, terming him masculine. https://t.co/TZC20TlJUe"
Sat Dec 14 10:21:17 +0000 2024,36,"Leading Kenyan socialite Eve Mungai yesterday had guts to lecture Simon Kabu on marriage and mannerism🤣🤣🤣 I dont know why people still watch her Youtube channel. No creativity at all just a tool to attack men..!  
Meru Koki Muli Amerix https://t.co/y1SXhTjWWL"
Thu Dec 12 07:34:59 +0000 2024,52,"When the hand that giveth meets the hand that taketh😂
#TotalShutDownKE 
Amerix// Cole Palmer// kimani ichung'wah// Kasmuel https://t.co/Q8ny6xsZ3x"
Tue Dec 17 14:17:05 +0000 2024,69,@amerix Being detached from natural living is a disservice to healthy living. It's simple yet taken for granted. https://t.co/OGEk3veRIW
Sun Nov 10 17:56:05 +0000 2024,10332,Aljazeera have made a video potraying Amerix as misogynistic and that his content is not healthy for consumption 👇🏾 https://t.co/EmF5WcBHcZ
Sun Dec 15 03:55:39 +0000 2024,107,"Fasting is scientific!!

Fasting is therapeutic. 

Water only fasting.
Low carb is therapeutic. 

Cancer prevention.

#fasting

https://t.co/Vfsp6PdAqq"
