SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
CU500PT,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,TABLES,COUNTER TABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36-54,36,36-54,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2020/03/Abacus_Counter_Table.jpg,https://stevesilver.com/wp-content/uploads/2020/03/Abacus_CU500PT_VG1.jpg,https://stevesilver.com/wp-content/uploads/2020/03/Abacus_CU500PT_DTL3.jpg,https://stevesilver.com/wp-content/uploads/2020/03/Abacus_CU500PT_DTL2.jpg,https://stevesilver.com/wp-content/uploads/2020/03/Abacus_CU500PT_CU500CC_RS1.jpg,https://stevesilver.com/wp-content/uploads/2020/03/CU500PT-dims-1.jpg,,,,,,,,,,Abacus 54-inch w/18-inch Butterfly Leaf Counter Table,"At 54 x 54 inches, Abacus Counter Table is a functional table that fits in regular but expands to seat a generous eight people using an ultra-convenient, self-storing Butterfly Leaf. The neutral two-tone finish of smoky alabaster and puttysmoke fits in most home environments and the casual style is perfect for the way we live today.",,,,,"Constructed of acacia and Asian hardwoods,18-inch Butterfly leaf stores in table eliminating the need for extra leaf room in your home,36-inch rectangular table expands with 18-inch leaf to 54-inch square for comfortable seating up to eight people,Two-tone smoky alabaster and putty finish",,,https://stevesilver.com/product/abacus-54-inch-w-18-inch-butterfly-leaf-counter-table/
LL950CI,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS1-1.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS2-1.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS3.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS4.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS5.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS7.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS8.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS9.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS11.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Laurel_LL950CI_WS10.jpg,,,,,,"Laurel Dual -Power Leather Recliner, Ivory",Contemporary styled recliner constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position.,,,,,"Constructed of top-grain leather on all seating areas and polyurethane sides and backs,Features power articulating headrest and power reclining leg rest,High-resiliency foam seating,Contemporary styling,Shown in Ivory, also available in grey",,,https://stevesilver.com/product/laurel-dual-power-chair-ivory/
KE800CG,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,41,39,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS3.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_VG1.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800SG_KE800CLG_KE800C_RS1-1.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CLG_WS5.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS7.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS6.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS5.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS4.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS3.jpg,https://stevesilver.com/wp-content/uploads/2020/05/Keily_KE800CG_WS2.jpg,,,,,,"Keily Manual Swivel Glider Recliner, Grey","Superior comfort and style are the hallmarks of this motion set. Featuring a leather-like cover with baseball stitching, this ensemble comes with a Sofa with a drop-down console & USB charging station; a Loveseat with dual rocker/recliner ends; and a rocker/recliner Chair with 360-degree swivel. Antiqued brass nailhead trim and padded arms complete this ultimate motion package.",,,,,"Manual motion group with marbled faux-leather cover application,Rocker/Recliner Chair swivels in a 360-degree radius,Color: Dove Grey",,,https://stevesilver.com/product/keily-manual-motion-swivel-glider-recliner-chair-grey/
ORD500NSV,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,TABLES,SERVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,32,60,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500NSV_LS2.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500NSV_WS1A.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500NSV_WS1.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500NSV_WS2.jpg,https://stevesilver.com/wp-content/uploads/2025/01/2.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_2Orinda_ORD500N_D5PC_ORD500NSV_ORD500NC_LS2.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500N_D7PC_ORD500NSV_LS1.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500NC_DTL1.jpg,https://stevesilver.com/wp-content/uploads/2025/01/SteveSilverFurniture_Orinda_ORD500N_SWATCH1.jpg,,,,,,,Orinda 60″ Server,"he 60″ Orinda Server blends rustic-modern style with versatile functionality. Crafted with oak veneers in a warm caramel finish, it features a dual double-door front with distressed black metal pulls for industrial flair. Inside, two adjustable shelves offer flexible storage for organizing dining essentials or displaying decor. Clean lines and European hinges enhance its refined aesthetic. Whether used as a standalone statement or paired with two Orinda Curios, it creates an elegant Pier Cabinet dining setup or a rustic yet modern Credenza for your office.",,,,,"Expertly crafted of oak veneers, solid Asian hardwoods and engineered woods,Casual rustic modern styling, the double doored 60″ Server offers bountiful storage in a horizontal packate,Two adjustable shelves behind two double doors allow you to customize your storage space effortlessly, adapting to accommodate your changing needs.,Concealed European hinges offer clean front aesthetic while allowing the doors to open and close smoothly and quietly,Plastic glides help prevent scratches or mars to floors,Doors close securely with magnetic latches, ensuring hassle-free access and a seamless appearance.,The wood is hand-stained in a natural multi-step warm caramel finish to highlight the natural grain and knots of the wood,Distressed black metal hardware adds the perfect rustic touch,Anti-tip restraint kit included",,,https://stevesilver.com/product/orinda-60-server/
LLY500BN,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,CHAIRS,BENCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,19,54,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500BN_LS2.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500BN_WS2.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500BN_WS1.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500BN_SWATCH1.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_2Lily_LLY500-C6PC_LLY500SV_LS1.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500-D6PC_LLY500SV_LS2.jpg,,,,,,,,,,Lily 54″ Bench,"Discover the adaptability of the Lily Dining Bench, a versatile seating solution for your space. Crafted with solid wood legs for stability, this bench offers lasting durability. Its greige finish and eggshell upholstered seat exude timeless charm and provide a comfortable dining experience. Whether placed in the dining room, hallway, or at the foot of your bed, the Lily Dining Bench seamlessly blends sturdy construction with elegant styling, enhancing any setting with its versatile design.",,,,,"Crafted from solid acacia, mango and Asian hardwood solids with engineered woods, foam and 100% polyester cover,Solidly constructed with solid wood legs and screwed corner blocks for exceptional structural stability,The upholstered bench offers comfortable seating for the family, is easy to clean, and its versatile design fits seamlessly into any space, enhancing both comfort and functionality.,100% polyester bench fabric cover in eggshell provides a durable and easy-to-clean surface that resists stains and spills.,From adding a touch of luxury at the foot of your bed to accommodating gatherings in your dining space, or serving as a stylish accent in the hallway or office, our upholstered bench is the versatile seating solution for every corner of your home,Plastic glides help prevent scratches or mars to floors,330 lb. weight capacity ensures durability and reliable support.,Upholstered seat and back with 1.2 density foam padding and a footrest ensures a comfortable seat for dining or working,The wood is hand-stained in a natural multi-step greige finish to highlight the natural grain and knots of the wood",,,https://stevesilver.com/product/lily-54-bench/
CU500SV,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,TABLES,SERVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,36,54,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2020/04/Abacus_CU500SV_WS1a.jpg,https://stevesilver.com/wp-content/uploads/2020/04/Abacus_CU500SV_VG1a.jpg,https://stevesilver.com/wp-content/uploads/2020/04/Abacus_CU500SV_WS1a.jpg,https://stevesilver.com/wp-content/uploads/2020/04/Abacus_DropLeaf_RS1.jpg,https://stevesilver.com/wp-content/uploads/2020/04/Abacus_CU200PT_PTB_CU500CC_CU500SV_RS2a-copy-scaled.jpg,https://stevesilver.com/wp-content/uploads/2020/04/Abacus_CU200PT_PTB_CU500CC_CU500SV_RS1a.jpg,https://stevesilver.com/wp-content/uploads/2020/04/CU500SV-DIMS.jpg,,,,,,,,,Abacus Server,"The 54-inch Abacus Server is a great storage solution for any room. Use as a Server in a dining room, a console in a hall area or behind a sofa or as an entertainment unit in the main room. Tow drawers and two doors offer space for hidden storage and the removable center wine rack offers a great solution for bottle storage or as a display area.",,,,,"A removable center wine rack gives space for bottle storage,Felt-lined top drawer keeps silverware from scratching,Two doors and two drawers add hidden storage,Two shelves behind doors",,,https://stevesilver.com/product/abacus-server/
WAR500WBN,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,CHAIRS,BENCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19,60,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurniture_Warren_WAR500WBN_LS2.jpg,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurntture_Warren_WAR500W-2AC-D6PC_WAR500WSV_LS1.jpg,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurniture_Warren_WAR500WBN_DTL1.jpg,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurniture_Warren_WAR500WBN_WS1.jpg,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurniture_Warren_WAR500WBN_WS2.jpg,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurniture_Warren_WAR500WBN_WS3.jpg,https://stevesilver.com/wp-content/uploads/2024/03/SteveSilverFurntture_Warren_WAR500W-2AC-D6PC_WAR500WSV_LS2.jpg,,,,,,,,,"Warren 60″ Upholstered Bench, White","A solid wood base with intricate, substantial turnings are just the beginning of the details found in the Warren 60″ Upholstered Bench. The style feels timeless yet modern, with a fresh distressed white finish that updates its classic form. A 3″ seat cushioned with 1.8 density foam ensures comfortable seating for up to three while the polyester covering with a linen-like appearance means you won’t need to worry nearly as much about upkeep and wear and tear. Flexibility seating for adults or children, this bench is sure to fit the bill in a bedroom, hallway or dining area.",,,,,"Crafted from acacia, mango and Asian hardwood solids, engineered woods, foam and 100% polyester fabric,Plastic glides help protect floors from mars or scratches,Wood scoring and finish rubthrough technique adds a distressed look, enhancing the charm of the furniture with a vintage-inspired appeal.,The 100% polyester bench fabric cover offers a linen-like appearance, ensuring durability and easy maintenance against stains and spills,300 lb. weight capacity ensures durability and reliable support for the bench.,The wood is hand-stained in a natural multi-step distressed white finish to highlight the natural grain and knots of the wood,Solidly constructed using mortise-and-tenon joinery and corner blocks for exceptional stability.,Built with a solid wood base to ensure lasting durability, stability, and timeless elegance for every dining experience.,3″ upholstered seat is cushioned with 1.8 density high-resiliency foam that creates a comfortable and delightful dining experience,Easy Assembly, all tools included",,,https://stevesilver.com/product/warren-60-upholstered-bench-white/
LLY500CCBN,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,CHAIRS,BENCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,25,54,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500CCBN_WS1.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500CCBN_LS2.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500CCBN_WS1.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500CCBN_WS2.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500CCBN_WS3.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500CCBN_DTL1.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500-C6PC_LLY500SV_LS1-copy.jpg,https://stevesilver.com/wp-content/uploads/2024/02/SteveSilverFurniture_Lily_LLY500-C6PC_LLY500SV_LS2-copy.jpg,,,,,,,,Lily 25″ Counter Bench,,,,,,"Crafted from solid acacia, mango and Asian hardwood solids with engineered woods, foam and 100% polyester cover,Built with solid wood legs for durability, structural integrity and natural beauty,The upholstered bench offers comfortable seating for the family, is easy to clean, and its versatile design fits seamlessly into any space, enhancing both comfort and functionality.,100% polyester bench fabric cover in eggshell provides a durable and easy-to-clean surface that resists stains and spills.,Plastic glides help prevent scratches or mars to floors,From adding a touch of luxury at the foot of your bed to accommodating gatherings in your dining space, or serving as a stylish accent in the hallway or office, our upholstered bench is the versatile seating solution for every corner of your home,330 lb. weight capacity ensures durability and reliable support.,Front and side stretchers provide sturdy support and stability for the 25″ seat height counter bench.,Upholstered seat and back with 1.2 density foam padding and a footrest ensures a comfortable seat for dining or working,The wood is hand-stained in a natural multi-step greige finish to highlight the natural grain and knots of the wood,Solidly constructed using screwed corner blocks for exceptional stability.",,,https://stevesilver.com/product/lily-25-counter-bench/
YS500CCBN,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,CHAIRS,BENCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17""","24""","47""",,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2022/04/SteveSilverFurniture_Yves_YS500CCBN_VG2.jpg,https://stevesilver.com/wp-content/uploads/2022/04/SteveSilverFurniture_Yves_YS500CCBN_WS1.jpg,https://stevesilver.com/wp-content/uploads/2022/04/SteveSilverFurniture_Yves_YS500CCBN_WS3.jpg,https://stevesilver.com/wp-content/uploads/2022/04/SteveSilverFurniture_Yves_YS500CCBN_WS2.jpg,https://stevesilver.com/wp-content/uploads/2022/04/SteveSilverFurniture_Yves_YS500PTTS_PTTBS_YS500CCBN_YS500CCBN_RS1.jpg,https://stevesilver.com/wp-content/uploads/2022/04/YS500CCBN-dims.jpg,,,,,,,,,,Yves 24-inch Counter Bench,This solid wood Counter Bench adds comfort and style to your modern styled kitchen or dining area. Crafted of Rubberwood solids are finished In a lustrous charcoal finish that blends beautifully with the easy-to-match gray foam-filled fabric seat. This 24-inch high Counter Bench complement either Counter Height dining tables or 36-inch Kitchen Counters and features front and side stretchers to add comfort and strength to the frame. Seat multiple guests or children while adding a touch of modern style with the Yves Counter Bench.,,,,,"Constructed of Rubberwood solids,Footrest and side stretchers add comfort and strength to Counter Bench,24-inch seat height can be used with Counter Tables or 36-inch Kitchen Counters,Cushioned seat adds support and comfort,Grey fabric,100% polyester fabric,Charcoal finish",,,https://stevesilver.com/product/yves-24-inch-counter-bench/
WB380BN,,,,,Steve Silver,,,,,,,,,,,,,,,,DINING & KITCHEN,CHAIRS,BENCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,42,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2019/10/Westby_WB380BN_WS2.jpg,https://stevesilver.com/wp-content/uploads/2019/10/Westby_WB380T_WB380BN_WB380S_RS1.jpg,https://stevesilver.com/wp-content/uploads/2019/08/WB380BN-dims.jpg,,,,,,,,,,,,,Westby Black PU Dining Bench w/Nailhead,"A modern take on dining, the Westby features a stunning white marble top with hints of black mineral accents that coordinates beautifully with the ebony pewter nailhead trim chairs and bench.",,,,,"Constructed of birch veneers and hardwood solids,Styling details include pewter nailhead trim chairs upholstered in easy-care black polyurethane with tapered legs that complement the tapered dining table legs,Table seats up to six guests and is available with tufted bench or side chairs,Ebony wood finish",,,https://stevesilver.com/product/westby-black-pu-dining-bench-withnailhead/
