SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
1180-FT,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25,38.5,44.25,,20.5,21,,,,,25.25,,21.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1180-FT_HR.jpg,,,,,,,,,,,,,,,SAMSON RECLINER WITH FLARED TRACK ARM,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1180-FT
6557-O,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,18.25,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6557-O_Neville_CowFaw_Chestnut_1019_HR.jpg,,,,,,,,,,,,,,,NEVILLE OTTOMAN,,,,,,"Shown with ""TTT"" nail. Standard with ""A"" nail.; Photographed in Cowen Fawn with Chesnut finish.",,,https://www.hancockandmoore.com/Products/Detail?SKU=6557-O
1180-CT,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25,38.5,44.25,,20.5,21,,,,,25.25,,21.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1180-CT_HR.jpg,,,,,,,,,,,,,,,SAMSON RECLINER WITH CUT BACK TRACK ARM,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1180-CT
2020,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,39,43,,21,20.5,,,,,25,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/2020_Sami_KisPew_Java_1019_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/2020_Sami_KisPew_Java_1019_OPEN_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/2020_Sami_KisPew_Java_1019_BK_HR.jpg,,,,,,,,,,,,,SAMI TILT BACK CHAIR,,,,,,"Shown with ""BK"" nail.  Standard with ""A"" nail.",,,https://www.hancockandmoore.com/Products/Detail?SKU=2020
1044,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,39.5,45,,21.75,20.5,,,,,26.5,,21.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1044_Sadler_MT_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1044_Hulton-Chestnut_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1044_Philosophy-Chocolate_JR.jpg,,,,,,,,,,,,,SADLER HIGH LEG RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1044
7184,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40.5,40,,22,20,,,,,24,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7184_Blaise_TilRub_Espresso_1019_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/7184_Blaise_TilRub_Espresso_1019_OPEN_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/7184_Blaise_TilRub_Espresso_1019_BK_HR.jpg,,,,,,,,,,,,,SABINE RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=7184
2020-O,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,23,18,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/2020-O_Sami_KisPew_Java_1019_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/2020_2020-O_Sami_KisPew_Java_1019.jpg,https://www.hancockandmoore.com/Documents/prod-images/2020_2020-O_Sami_KisPew_Java_1019_HR.jpg,,,,,,,,,,,,,SAMI OTTOMAN,,,,,,"Shown with ""BK"" nail.  Standard with ""A"" nail.",,,https://www.hancockandmoore.com/Products/Detail?SKU=2020-O
7008-PR,,,,,,,,,,,,,,,,,,,,,POWER RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,40,40,,20,22,,,,,26,,21,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7008-PR_Ivanhoe_PR1_HR.jpg,,,,,,,,,,,,,,,IVANHOE POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=7008-PR
5841-R-W,,,,,,,,,,,,,,,,,,,,,OCCASIONAL CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25,43.75,37,,23,19,,,,,25.25,,19,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/5841-R_Yachtsman_OC1_HR.jpg,,,,,,,,,,,,,,,YACHTSMAN ROCKING CHAIR,,,,,,Photographed in Tiburon Java with Walnut finish.,,,https://www.hancockandmoore.com/Products/Detail?SKU=5841-R-W
6484-1,,,,,,,,,,,,,,,,,,,,,OCCASIONAL CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,32.5,30,,19.5,20.5,,,,,26,,21,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6484-1_Yonkers_NifTof_Espresso_0419_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6484-1_Yonkers_NifTof_Espresso_0419_SIDE_HR.jpg,,,,,,,,,,,,,,YONKERS CHAIR,,,,,,Photographed in Nifon Toffee with Espresso finish.,,,https://www.hancockandmoore.com/Products/Detail?SKU=6484-1
7204-S-PRB,,,,,,,,,,,,,,,,,,,,,POWER RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.25,41,38.25,,23.75,21,,,,,23.5,,20.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7204-S_Henley_LargoOyster_0422_HR_87600.jpg,https://www.hancockandmoore.com/Documents/prod-images/7204-S_Henley_LargoOyster_0422_OPEN_HR_72249.jpg,https://www.hancockandmoore.com/Documents/prod-images/7204-S_Henley_LargoOyster_0422_BK_HR_90738.jpg,,,,,,,,,,,,,HENLEY SWIVEL POWER RECLINER WITH BATTERY,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=7204-S-PRB
7204-S-PR,,,,,,,,,,,,,,,,,,,,,POWER RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.25,41,38.25,,23.75,21,,,,,23.5,,20.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7204-S_Henley_LargoOyster_0422_HR_39205.jpg,https://www.hancockandmoore.com/Documents/prod-images/7204-S_Henley_LargoOyster_0422_OPEN_HR_79345.jpg,https://www.hancockandmoore.com/Documents/prod-images/7204-S_Henley_LargoOyster_0422_BK_HR_76505.jpg,,,,,,,,,,,,,HENLEY SWIVEL POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=7204-S-PR
1080,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,37,44.5,,20.5,19,,,,,25.5,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_MT1_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_Holman-Storm_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_Holman_Expresso_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_Homan-Fog_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_Kip-Bisque_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_Kip-Mocha_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1080_Sami_Kip-Wheat_HR.jpg,,,,,,,,,SAMI RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1080
