SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
7201-PR,,,,,,,,,,,,,,,,,,,,,Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,36.5,41.5,,21.5,19.5,,,,,25,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7201_Brooks_RosTob_Espresso_1021_HR_31646.jpg,https://www.hancockandmoore.com/Documents/prod-images/7201_Brooks_RosTob_Espresso_1021_OPEN_HR_31646.jpg,https://www.hancockandmoore.com/Documents/prod-images/7201_Brooks_RosTob_Espresso_1021_BK_HR_57061.jpg,,,,,,,,,,,,,BROOKS POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=7201-PR
1011,,,,,,,,,,,,,,,,,,,,,Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1011_Browning_MT_HR.jpg,,,,,,,,,,,,,,,BROWNING TUFTED WING CHAIR RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1011
1001,,,,,,,,,,,,,,,,,,,,,Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,41,,21,19,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1001_Browning_2_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1001_Browning_1_HR.jpg,,,,,,,,,,,,,,BROWNING BUSTLE BACK HIGH LEG RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1001
1001-PRB,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,41,,21,19,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1001-PR_Browning_2_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1001-PR_Browning_1_HR.jpg,,,,,,,,,,,,,,BROWNING BUSTLE BACK HIGH LEG POWER REC.W/BATTERY,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1001-PRB
1002-PRB,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1002-PR_Browning_PR1_HR.jpg,,,,,,,,,,,,,,,BROWNING HIGH LEG POWER RECLINER W/BATTERY,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1002-PRB
3047-PRB,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75,36.5,41,,22,19,,,,,24,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/3047-PR_Acclaim_MT1_HR.jpg,,,,,,,,,,,,,,,ACCLAIM POWER RECLINER W/BATTERY,,,,,,Not available without power.,,,https://www.hancockandmoore.com/Products/Detail?SKU=3047-PRB
1011-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1011-PR_Browning_PR1_HR.jpg,,,,,,,,,,,,,,,BROWNING TUFTED WING CHAIR POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1011-PR
7174-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,38.5,41,,21,19,,,,,24.5,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/7174_Agnes_TurFaw_Java_1018_HR_16734.jpg,https://www.hancockandmoore.com/Documents/prod-images/7174_Agnes_TurFaw_Java_1018_OPEN_HR_73664.jpg,https://www.hancockandmoore.com/Documents/prod-images/7174_Agnes_TurFaw_Java_1018_BK_HR_56205.jpg,,,,,,,,,,,,,AGNES POWER RECLINER,,,,,,"Shown with optional ""BK"" nail.  Standard with ""A"" nail.",,,https://www.hancockandmoore.com/Products/Detail?SKU=7174-PR
1002-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1002-PR_Browning_PR1_HR.jpg,,,,,,,,,,,,,,,BROWNING HIGH LEG POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1002-PR
5783-RIB,,,,,,,,,,,,,,,,,,,,,Occasional Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,34.5,35.5,,24.75,21.5,,,,,23.75,,19.25,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/5783-RIB_Adirondack_OC1_HR.jpg,,,,,,,,,,,,,,,ADIRONDACK CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=5783-RIB
1002,,,,,,,,,,,,,,,,,,,,,Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1002_Browning_MT_HR.jpg,,,,,,,,,,,,,,,BROWNING HIGH LEG RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1002
6680-3,,,,,,,,,,,,,,,,,,,,,Sofa / Chair Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,41,34,,66,22,,,,,25.5,,19,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6680-3_Parisian_NepClo_Java_0621_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6680-3_Parisian_NepClo_Java_0621_BK_HR.jpg,,,,,,,,,,,,,,PARISIAN SOFA,,,,,,Shown in Nepal Cloud with Java finish.  Shown with BK nails.  Standard with A nail.,,,https://www.hancockandmoore.com/Products/Detail?SKU=6680-3
2022-O,,,,,,,,,,,,,,,,,,,,,Ottomans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18,18.25,,,,,,,,,,18.25,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/2022-O_Toby_MemCho_MD_1021_HR.jpg,,,,,,,,,,,,,,,TOBY OTTOMAN,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=2022-O
1011-PRB,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1011-PR_Browning_PR1_HR.jpg,,,,,,,,,,,,,,,BROWNING WING CHAIR POWER RECLINER W/BATTERY,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1011-PRB
H6868-3,,,,,,,,,,,,,,,,,,,,,Sofas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,40,35.5,,69.5,22,,,,,23,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/H6868-3_Tinley_FenCho_MD_0423_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/H6868-3_Tinley_FenCho_MD_0423_BK_HR.jpg,,,,,,,,,,,,,,TINLEY SOFA,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=H6868-3
H1104-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,41.5,45,,19.5,19.5,,,,,26.25,,21.25,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/H1104_Burke_FenBur_MD_1023_HR_42248.jpg,https://www.hancockandmoore.com/Documents/prod-images/H1104_Burke_FenBur_MD_1023_OPEN_HR_77343.jpg,https://www.hancockandmoore.com/Documents/prod-images/H1104_Burke_FenBur_MD_1023_BK_HR_54471.jpg,,,,,,,,,,,,,BURKE POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=H1104-PR
6881-3,,,,,,,,,,,,,,,,,,,,,Sofas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,46,38.5,,79,22,,,,,27,,21,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6881-3_Tobias_HobChe_Espresso_1023_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6881-3_Tobias_HobChe_Espresso_1023_BK_HR.jpg,,,,,,,,,,,,,,TOBIAS SOFA,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6881-3
1001-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,41,,21,19,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1001-PR_Browning_2_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/1001-PR_Browning_1_HR.jpg,,,,,,,,,,,,,,BROWNING BUSTLE BACK HIGH LEG POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1001-PR
H6868-1,,,,,,,,,,,,,,,,,,,,,Stationary Lounge Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,40,35.5,,23.5,22,,,,,23,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/H6868-1_Tinley_FenCho_MD_0423_HR_96486.jpg,https://www.hancockandmoore.com/Documents/prod-images/H6868-1_Tinley_FenCho_MD_0423_BK_HR.jpg,,,,,,,,,,,,,,TINLEY CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=H6868-1
164-24,,,,,,,,,,,,,,,,,,,,,Counter Stools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21.75,34.75,,19.25,18.5,,,,,,,24,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/164-24_Radius_BS_HR.jpg,,,,,,,,,,,,,,,RADIUS SWIVEL COUNTER STOOL,,,,,,"Shown with ""J"" nail.  Standard with ""A"" nail.; No footrest available.  Swivels and returns.",,,https://www.hancockandmoore.com/Products/Detail?SKU=164-24
5783-1,,,,,,,,,,,,,,,,,,,,,Occasional Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,34.5,35.5,,24.75,21.5,,,,,23.75,,19.25,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/5783-1_Adirondack_ST_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5783-1_Adirondack_OC1_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5783-1_Adirondack_OC2_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5783-1_Adirondack_OC3_HR.jpg,,,,,,,,,,,,ADIRONDACK CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=5783-1
H3C-125-OAK,,,,,,,,,,,,,,,,,,,,,Headboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,4.5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YOUR WAY CANDICE CHANNEL QUILTED QUEEN HEADBOARD,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=H3C-125-OAK
6934-32,,,,,,,,,,,,,,,,,,,,,Ottomans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,32.75,17,,,,,,,,,,17,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6934-32_Adolfo_TibLigBlu_OxfoCham_1024_HR.jpg,,,,,,,,,,,,,,,ADOLFO COCKTAIL OTTOMAN,,,,,,Adolfo cocktail ottoman has textural cast metal bronze legs and picture frame detail on the top.,,,https://www.hancockandmoore.com/Products/Detail?SKU=6934-32
13,,,,,,,,,,,,,,,,,,,,,Sectionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,40.5,38,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Y13.jpg,,,,,,,,,,,,,,,YOUR WAY ARMLESS QUARTER ROUND,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=13
20,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,40.5,38,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Y20.jpg,,,,,,,,,,,,,,,YOUR WAY ARMLESS LOVESEAT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=20
14,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,40.5,38,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Y14.jpg,,,,,,,,,,,,,,,YOUR WAY ARMLESS CORNER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=14
10,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,40.5,38,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Y10-Armless-Chair.jpg,,,,,,,,,,,,,,,YOUR WAY ARMLESS CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=10
30,,,,,,,,,,,,,,,,,,,,,Sectionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,40.5,38,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Y31_HR.jpg,,,,,,,,,,,,,,,YOUR WAY ARMLESS SOFA,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=30
1065-PRB,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.25,38.5,40.5,,20.5,21,,,,,23.75,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1065_Sinclair_MT1_HR.jpg,,,,,,,,,,,,,,,SINCLAIR POWER RECLINER W/BATTERY,,,,,,"Shown with ""J"" nail. Standard with ""A"" nail.",,,https://www.hancockandmoore.com/Products/Detail?SKU=1065-PRB
1065-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.25,38.5,40.5,,20.5,21,,,,,23.75,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1065_Sinclair_MT1_HR.jpg,,,,,,,,,,,,,,,SINCLAIR POWER RECLINER,,,,,,"Shown with ""J"" nail. Standard with ""A"" nail.",,,https://www.hancockandmoore.com/Products/Detail?SKU=1065-PR
6863ST-PL,,,,,,,,,,,,,,,,,,,,,Executive Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,27,43.5,,19.5,18.5,,,,,25,,19.25,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6863ST-PL_Silverton_FenBis_Bark_0423_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6863ST-PL_Silverton_FenBis_Bark_0423_BK_HR.jpg,,,,,,,,,,,,,,SILVERTON SWIVEL TILT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6863ST-PL
H3C-125-MAP,,,,,,,,,,,,,,,,,,,,,Headboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,4.5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YOUR WAY CANDICE CHANNEL QUILTED QUEEN HEADBOARD,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=H3C-125-MAP
UL7187,,,,,,,,,,,,,,,,,,,,,Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25,38.5,40,,21,20,,,,,24,,19,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Ul7187_Sig_KisMin_Java_1019_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/Ul7187_Sig_KisMin_Java_1019_OPEN_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/Ul7187_Sig_KisMin_Java_1019_BK_HR.jpg,,,,,,,,,,,,,SIG RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=UL7187
UL7187-PR,,,,,,,,,,,,,,,,,,,,,Power Recliners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25,38.5,40,,21,20,,,,,24,,19,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Ul7187_Sig_KisMin_Java_1019_HR_39378.jpg,https://www.hancockandmoore.com/Documents/prod-images/Ul7187_Sig_KisMin_Java_1019_OPEN_HR_39378.jpg,https://www.hancockandmoore.com/Documents/prod-images/Ul7187_Sig_KisMin_Java_1019_BK_HR_24652.jpg,,,,,,,,,,,,,SIG POWER RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=UL7187-PR
