SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/Alsace-Group-4-Detail-4-Round-Plank-Top-2-copy-1024x791.jpg,,,,,,,,,,,,,,,ROUND PLANK,,,,,,Round Plank Table Top PIB,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/CHAIRS-VENICE-VENICE_BELAIR_MOCHA_RS-1024x768.webp,,,,,,,,,,,,,,,RECTANGULAR PLANK,,,,,,Rectangular (PA) Table Top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/CHAIRS-BLAKE-BLAKE_NATURALE_RS-1024x768.webp,,,,,,,,,,,,,,,NATURALE,,,,,,Naturale (N) Table Top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/Hannah%20Group%201%207992-DINING-ASBURY%20-%20Sydney%20Storage%20Table-Edit-3%20copy-1024x768.webp,,,,,,,,,,,,,,,SYDNEY STORAGE,,,,,,Sydney Storage (SSA) Table 3 with Hannah Barstools,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/46747BurgundyGroup1Detail2-Hi-1024x768.webp,,,,,,,,,,,,,,,COPPER,,,,,,Copper (COB) Table Top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/CHAIRS-SINCLAIR-Sinclair_Maple_RS-1024x768.webp,,,,,,,,,,,,,,,ZINC,,,,,,Rectangular Zinc (ZIA) table top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/boulder_table_grace_austin_rs-2-1024x768.webp,,,,,,,,,,,,,,,BOULDER,,,,,,Boulder Table (BL),,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/4242_OSLO_DINING_RS-1.webp,,,,,,,,,,,,,,,OSLO,,,,,,Oslo (B) Table,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/liveedgetable-1024x768.webp,,,,,,,,,,,,,,,LIVE EDGE,,,,,,Live Edge Top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/Bakersfield%20Group%203%20Bakersfield-Rectangular-Norfolk%20-%20Rectangular%20Top-1024x768.webp,,,,,,,,,,,,,,,RECTANGULAR,,,,,,Rectangular (A) table top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/new/CLEVELAND%20Group%202%20METROBUFFET_RS%20-%20Round%20Top-1024x768.webp,,,,,,,,,,,,,,,OVAL / ROUND,,,,,,Round (B) table top,,,https://www.mavinfurniture.com/products/tables/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/concave-1024x768.webp,,,,,,,,,,,,,,,CONCAVE,,,,,,concave,,,https://www.mavinfurniture.com/products/tables/
