Company Name,Position,Location,Date Posted,Job URL,Time Span
Modern Machinery,Territory Manager,"Spokane, WA 99212 
(Chief Garry Park area)",,https://www.indeed.com/rc/clk?jk=fb1f0b1827b059c0&bb=w4ftoE5GLgPlTrklsoanyntvrekGojwmX-W6vVCgBbXPX2otZtYOQ5aKZo3HVD9x4A5UO8QxSEb_2_4xwjOzsotDZRTVd8rJFno5oh6nTqCf_Iz8aARbZU1w1NHrxD8D&xkcb=SoAH67M34dHuenyMaB0GbzkdCdPP&fccid=0465ab5eab9cf3a7&vjs=3,14Days
Starbucks,"barista - Store# 08935, SPRAGUE AND PINES","Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=b73f570235b2596e&bb=uQuKLUbdfmUP1uBZDxDvgSGfkGBmZTGukh55XgcnzpeBY3TbgWx79c7JPv-Cx8Rv3K0sMS-RVApJCFfhQ3kLIHBmVuv_SC-ew-HTgkPQ5N3vq3eYqyMQdw%3D%3D&xkcb=SoBK67M34dYfqcST9B0bbzkdCdPP&fccid=a88e611ddef97571&vjs=3,14Days
Banfield Pet Hospital,VA Addition,"Spokane, WA 99218 
(Nevada-Lidgerwood area)",,https://www.indeed.com/rc/clk?jk=652db5ce136084ac&bb=ZOua7Hib5Z_F4MfjMWgxtmsjKXtEgtg47HPOpDGnA0HRa8KGSN-YS8YPWTD5QWc32HZ9qWRvmFPSb6LecD_EZNkc6LkFG26AzkpJwfx6uMtV0o_eEiqIJw%3D%3D&xkcb=SoBt67M34dYvoDSMaB0HbzkdCdPP&fccid=f264d6e753f3f414&vjs=3,14Days
Stryker,"Foot & Ankle Sales Representative - Spokane, WA","Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=b6f38fa61c1ee636&bb=qPMXTWOXgy9snkaGxYt9YOIYmW1Ig0hN2aVSDY1bRoZrdpSK8pPUhJ4CebYBZLFPtlJWwQtyjfEwHzKAoC440VZUkxBIVZCxIK_vOPwD7z187QTBOFsr0w%3D%3D&xkcb=SoAh67M34dY_qXQELx0ObzkdCdPP&fccid=9d4dbca3ed8b9cdf&vjs=3,14Days
Frontier Behavioral Health,Clinician II - Forensic Projects for Assistance in Transition from Homelessness (FPATH),"Spokane, WA 99202 
(East Central area)",,https://www.indeed.com/rc/clk?jk=0beba492e4a74588&bb=SJ8RRnTraZQSWBwJNudFk6DXIyY8F3fjsUU50eG5Ih3PI6pFiij9F33bgqleQWeQgThv4J5YuF8Y4EZ4bhkcL0BQM1SH5h2yc6vYpBGxYhRbmPG70s4DxWI08xSHLHhH&xkcb=SoCG67M34dZvgZAWgz0JbzkdCdPP&fccid=da637bbbdbf2868f&vjs=3,14Days
Spokane Public Schools,"STUDENT SUPPORT SPECIALIST @ SPECIAL EDUCATION - SECONDARY TRANSITION, 7 HRS, CL TEMP.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=6af22f43c09876bc&bb=SJ8RRnTraZQSWBwJNudFk8EE8erUWG2ggEAXrFJlcCQEzz_hjPxTjpEomEP4lPYtg3Kq--rJtwNMx7hViDnL_bhMZsJRN-lezCQsvScs7Pu-1uogTBWXjWYNAPnXb6-b&xkcb=SoC867M34dZvgZAWgz0PbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
Loram Maintenance of Way,Machine Operator - 1 - TM,"Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=8195e42e9c5504ee&bb=SJ8RRnTraZQSWBwJNudFkym9Qsl4ixb_kjwBqeykNc4pe0oouP8YnhcBRUJXA77yuuGBk3gdUoFCJxeSCpEwEUjnBI5hnihQnFf07B1RDTm2YzwpOroSpwrxMFlgnne3&xkcb=SoDI67M34dZvgZAWgz0DbzkdCdPP&fccid=69b6e68d79e1af79&vjs=3,14Days
Cennox,Bank Equipment Technician,"Spokane, WA",,https://www.indeed.com/rc/clk?jk=bb2840a58a662e1f&bb=SJ8RRnTraZQSWBwJNudFk6DXIyY8F3fjewcLYOFt3kykYZCeItCm8KUOT4834_a2_ykYzMxrvsZVS1hzJxujKQrCjMGDgmwJkDFEw-PC7GjAUU39ojU2iwO74JFmo_et&xkcb=SoDy67M34dZvgZAWgz0FbzkdCdPP&fccid=02efaa6afbef2070&vjs=3,14Days
Ryder,Furniture Home Delivery,"Spokane, WA",,https://www.indeed.com/rc/clk?jk=d86e350c5a6288a9&bb=v8go8OJIc8QIIxFn-OZq1My-n1jUzIgsauutmdAQjHk5uiFd-sFbllQ5aMOmnpX6FmQ5CDtFkPWAcYvm9h_4TawPeMabT_mNnwcR2F7Qk4xctXgs6jJmYg%3D%3D&xkcb=SoD367M34dZ_ioxUIx0ObzkdCdPP&fccid=22f3171d623451cc&vjs=3,14Days
U.S. Department of Justice,Special Assistant United States Attorney (SAUSA) City of Spokane,"Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=f30420840e33c7eb&bb=v8go8OJIc8QIIxFn-OZq1L7NddmlGOq7OViqQ_E0zqd9zRxtZKGtaOLXrjalT-XfuQTHYNZEwQ72SZD2J9lov7biODnNH0DMf3BfnJLDeV3bsq4q5BShPJ8LpNr-AhPq&xkcb=SoAe67M34dZ_ioxUIx0BbzkdCdPP&fccid=a82ba43bbfe2b26b&vjs=3,14Days
Banfield Pet Hospital,Client Service Coordinator,"Spokane, WA 99218 
(Nevada-Lidgerwood area)",,https://www.indeed.com/rc/clk?jk=5baf6f582fa8a000&bb=oGATSOYKYhZZX-dUELg4N_NwzA_rUmwQMEpFebfNZWO8VRVIrmw0FgcumTGwX6R6_I7KJAQI9rN3QqV4GNAqtaf2L1OT_OwStwvzu6DXloQ3vzuBi_Abbg%3D%3D&xkcb=SoAO67M34dZwg3SMaB0KbzkdCdPP&fccid=f264d6e753f3f414&vjs=3,14Days
Spokane Public Schools,"ASSISTANT TRACK COACH - HIGH JUMP @ SHADLE PARK HIGH SCHOOL, CL TEMP.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=08e9df57d07dea24&bb=oGATSOYKYhZZX-dUELg4NyeR_kUp1rkRxB8YfECa6ZnAx2m44qms-DbXauy_OSWVvQdNNm66qkvvVr5zYwBKYbVzEVTlkrDgZcEXb9G-Q8OLAOGOSRwwZhMWCb52E5X4&xkcb=SoCA67M34dZwg3SMaB0NbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
