name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Local Bar & Grill,"2183 WA-105, Grayland, WA 98547, Marekani",localbarandgrillgrayland.com,+1 360-267-5071,0,0.0,46.852726,-124.1853281
Aloha Alabama BBQ,"2309 Westhaven Dr, Westport, WA 98595, Marekani",alohaalabama.com,+1 360-268-7299,0,0.0,46.852726,-124.1853281
Grayland Beach Outfitters,"1756 WA-105, Grayland, WA 98547, Marekani",No Website,+1 360-268-7177,0,0.0,46.9087989,-124.2570948
Blue Buoy,"2323 Westhaven Dr, Westport, WA 98595, Marekani",facebook.com,+1 360-268-7065,0,0.0,46.8102032,-124.2379616
Knotty Pine Tavern,"201 E Dock St, Westport, WA 98595, Marekani",knottypinewestport.com,+1 360-268-0591,0,0.0,46.9090139,-124.25764
Beachcomber Grocery & Deli,"1605 WA-105, Grayland, WA 98547, Marekani",No Website,+1 360-267-7716,0,0.0,46.9090139,-124.25764
Blackbeard's Brewing Taphouse,"1605 WA-105, Grayland, WA 98547, Marekani",No Website,+1 360-267-7716,0,0.0,46.8153424,-124.240008
Bennett's Fish Shack,"2581 Westhaven Dr, Westport, WA 98595, Marekani",bennettsfishshacks.com,+1 360-268-7380,0,0.0,46.9105111,-124.2600504
Knotty Pine Tavern,"2323 Westhaven Dr, Westport, WA 98595, Marekani",facebook.com,+1 360-268-7065,0,0.0,46.9090139,-124.25764
Blackbeard's Brewing Taphouse,"2401 Westhaven Dr, Westport, WA 98595, Marekani",blackbeardsbrewing.com,+1 360-268-7439,0,0.0,46.9092912,-124.2582808
Photo Review,"340 E Maple Ave # 200, Langhorne, PA 19047, Marekani",photoreview.org,+1 215-891-0214,0,0.0,40.1768216,-75.0581838
"DUBUS Studio, LLC","118 S Bellevue Ave, Langhorne, PA 19047, Marekani",jeanmarcdubus.com,+1 215-514-3039,0,0.0,40.1768216,-75.0581838
JAC PORTRAITS PRINTS AND ORIGINALS,"614 Hulmeville Ave, Langhorne, PA 19047, Marekani",jacportraits.com,+1 970-691-5755,0,0.0,40.1768216,-75.0581838
Langhorne Council for the Arts,"960 Langhorne Yardley Rd, Langhorne, PA 19047, Marekani",langhornearts.org,+1 215-752-0854,0,0.0,40.1768216,-75.0581838
Judy's Corner Custom Framing,"127 S Bellevue Ave, Langhorne, PA 19047, Marekani",No Website,+1 267-242-2634,0,0.0,40.1768216,-75.0581838
"iDEAL Real Estate Co, LLC","4909 Government Blvd, Mobile, AL 36693, Marekani",idealrec.com,+1 251-332-1400,0,0.0,30.6566372,-88.2010403
Wellhouse Real Estate,"4464 Old Shell Rd, Mobile, AL 36608, Marekani",wellhouserealestate.com,No Phone,0,0.0,30.616516,-88.3021535
"Roberts Brothers, Inc.","3601 Springhill Business Pk #101, Mobile, AL 36608, Marekani",robertsbrothers.com,+1 251-344-9220,0,0.0,30.616516,-88.3021535
Lisa Granger - Realtor at Keller Williams Mobile,"1210 Hillcrest Rd # 2, Mobile, AL 36695, Marekani",lisagrangerrealtor.com,+1 251-454-1170,0,0.0,30.616516,-88.3021535
1702 Real Estate,"127 Dauphin St, Mobile, AL 36602, Marekani",1702realestate.com,+1 251-463-3613,0,0.0,30.616516,-88.3021535
Jared Giddens,"1428 Hillcrest Rd, Mobile, AL 36695, Marekani",No Website,+1 251-716-6122,0,0.0,30.616516,-88.3021535
