Name,URL,Price,Comments,Specs
"أرض للبيع في شارع سعد بن معاذ, حي طويق, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B7%D9%88%D9%8A%D9%82/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%B3%D8%B9%D8%AF-%D8%A8%D9%86-%D9%85%D8%B9%D8%A7%D8%B0-%D8%AD%D9%8A-%D8%B7%D9%88%D9%8A%D9%82-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-6074806,"2,250,000 ريال",أرض فضاء سكنية تجارية للبيع عرض الشارع ٤٠ متر الواجهه ٣٠ العمق ٣٠ المساحة ٩٠٠ للاستفسار يرجي التواصل ابو الوليد,"{'سكني', '30 م', '900 م²'}"
"أرض للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%AC%D8%A8%D9%84-%D8%A7%D8%AC%D9%8A%D8%A7%D8%AF-%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5853548,"1,816,550 ريال",ارض للبيع . موقع مميز جدا شارعين 20 شمالي و 20 شرقي الاطوال / 36 * 24.98 . نتشرف بخدمتكم وتسويق عقارتكم . ترخيص الإعلان / 7200260059 عقد الوساطة / 6200239615 ترخيص فال / 1200015530,"{'20 م', 'سكني', '899 م²'}"
"أرض للبيع في شارع نجران, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B8%D9%87%D8%B1%D8%A9-%D9%84%D8%A8%D9%86/%D8%B4%D8%A7%D8%B1%D8%B9-%D9%86%D8%AC%D8%B1%D8%A7%D9%86-%D8%AD%D9%8A-%D8%B8%D9%87%D8%B1%D8%A9-%D9%84%D8%A8%D9%86-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5940150,"3,605,320 ريال",أرض للبيع في حي ظهرة لبن للبيع قطعه ارض تجاري سكني بحي ظهره لبن شارع نجران المساحة ٨٣٧ م الااطوال ٢٦ في ٢٩ م شارع ٤٠ شرقي السوم: 3 مليون و ٦٥٠ ألف ريال صافي. الحد ٤ مليون صافي.,"{'سكني/تجاري', '40 م', '837 م²'}"
"أرض للبيع في حي الفاروق, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D9%88%D8%B3%D8%B7-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D9%88%D9%82/%D8%B4%D8%A7%D8%B1%D8%B9-0000-%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D9%88%D9%82-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5974965,"1,560,000 ريال",قطع للبيع بلك نقبل التفريد الريـاض فـي حـي الفـاروق جنـوب حي الربوة بالقرب من مبنى الدوائر الحكومية جامع الراجحي سكة الحديد سوق شرق العثيم مول ايكيا أسواق الماجد ١٢ قطعة مساحة ٤٠٠ الاطوال ٢٠ في ٢٠ قطعتين زوايا مساحة ٤٥٣ الاطوال ٢٢.٦٥ في ٢٠ الشوارع ٢٥ . ٢٠ . ١٨ . ١٥ السعر ٤٠٠٠ للمتر,"{'25 م', 'سكني', '400 م²'}"
"أرض للبيع في حي الفاروق, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D9%88%D8%B3%D8%B7-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D9%88%D9%82/%D8%B4%D8%A7%D8%B1%D8%B9-0000-%D8%AD%D9%8A-%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D9%88%D9%82-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-5974952,"2,340,000 ريال","قطع للبيع باطوال مميز شــرق مدينــة الريـاض فـي حـي الفـاروق جنـوب حي الربوة بالقرب من مبنى الدوائر الحكومية جامع الراجحي سكة الحديد سوق شرق العثيم مول ايكيا أسواق الماجد متبقي ١٠ قطع 400 اطوال 20 في 20 شوارع 20 و 18 راس قطعتين 453 اطوال 22,65 في 20 شوارع 25 و 20 و 18 سعر المتر ٤٠٠٠ قابل لتفاوض قطعتين 375 زوايا الاطوال 15 في 25 ثلاث قطع 600 الاطوال 24 في 25 قطعتين 625 زوايا الاطوال 25 في 25 الشوارع 18 . 15 . 25 . 12 على مرفق حديقه","{'600 م²', 'سكني', '18 م'}"
"أرض للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-6077501,"768,750 ريال",نوفر لكم عروضنا المتنوعة بمساحات مختلفة في مخطط 3020 للاستفسارات أو الطلبات العقارية لا تترددوا في التواصل معنا عبر الواتساب سلمان زاهر - موافقة العقارية 0502199862,"{'20 م', 'سكني', '375 م²'}"
"أرض للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-6077497,"899,828 ريال",نوفر لكم عروضنا المتنوعة بمساحات مختلفة في مخطط 3020 للاستفسارات أو الطلبات العقارية لا تترددوا في التواصل معنا عبر الواتساب سلمان زاهر - موافقة العقارية 0502199862,"{'20 م', 'سكني', '419 م²'}"
"أرض للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-6077490,"838,580 ريال",نوفر لكم عروضنا المتنوعة بمساحات مختلفة في مخطط 3020 للاستفسارات أو الطلبات العقارية لا تترددوا في التواصل معنا عبر الواتساب سلمان زاهر - موافقة العقارية 0502199862,"{'20 م', 'سكني', '419 م²'}"
"أرض للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1/%D8%AD%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D9%86%D9%85%D8%A7%D8%B1-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-6077481,"906,768 ريال",نوفر لكم عروضنا المتنوعة بمساحات مختلفة في مخطط 3020 للاستفسارات أو الطلبات العقارية لا تترددوا في التواصل معنا عبر الواتساب سلمان زاهر - موافقة العقارية 0502199862,"{'20 م', '432 م²', 'سكني'}"
"أرض للبيع في شارع اميه بن عبدالله الاموي, حي عرقة, مدينة الرياض, منطقة الرياض",https://sa.aqar.fm/%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%BA%D8%B1%D8%A8-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%AD%D9%8A-%D8%B9%D8%B1%D9%82%D8%A9/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%85%D9%8A%D9%87-%D8%A8%D9%86-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%A7%D9%84%D8%A7%D9%85%D9%88%D9%8A-%D8%AD%D9%8A-%D8%B9%D8%B1%D9%82%D8%A9-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-6060770,"5,005,000 ريال",ارض للبيع حي عرقه بالرياض مخطط 2811 القطعه رقم 1649 الواجهه شماليه شارع عرض 16م الاطوال 22/35 مقام عليها قبو واعمده الدور الارضي البيع بسعر الارض للاستفسار جوال 0552900019 _ 0554420904,"{'سكني', '16 م', '770 م²'}"
